name,average_auc,,feature
xgb_AtomPairFP,0.920126339,,AtomPairFP
xgb_Autocorr,0.899183789,,Autocorr
xgb_AvalonFP,0.772524503,,AvalonFP
xgb_Charge,0.773816114,,Charge
xgb_Connectivity,0.744999077,,Connectivity
xgb_Constitution,0.843780187,,Constitution
xgb_Estate,0.832427035,,Estate
xgb_EstateFP,0.682263684,,EstateFP
xgb_Fragment,0.712437455,,Fragment
xgb_InfoContent,0.770397143,,InfoContent
xgb_Kappa,0.735056929,,Kappa
xgb_MACCSFP,0.783959059,,MACCSFP
xgb_MAP4,0.890234769,,MAP4
xgb_Matrix,0.851155395,,Matrix
xgb_MHFP6,0.840795372,,MHFP6
xgb_MOE,0.845988951,,MOE
xgb_MorganFP,0.852077974,,MorganFP
xgb_Path,0.745422379,,Path
xgb_PharmacoErGFP,0.820683143,,PharmacoErGFP
xgb_PharmacoPFP,0.801667155,,PharmacoPFP
xgb_Property,0.817606069,,Property
xgb_PubChemFP,0.774195999,,PubChemFP
xgb_RDkitFP,0.818262729,,RDkitFP
xgb_Topology,0.771601923,,Topology
xgb_TorsionFP,0.823000445,,TorsionFP
rf_AtomPairFP,0.895949334,,
rf_Autocorr,0.929145909,,
rf_AvalonFP,0.806529691,,
rf_Charge,0.769507126,,
rf_Connectivity,0.810062627,,
rf_Constitution,0.801987344,,
rf_Estate,0.799523515,,
rf_EstateFP,0.630892297,,
rf_Fragment,0.654352946,,
rf_InfoContent,0.841500874,,
rf_Kappa,0.6617173,,
rf_MACCSFP,0.822197258,,
rf_MAP4,0.873373276,,
rf_Matrix,0.84529973,,
rf_MHFP6,0.779015119,,
rf_MOE,0.827890115,,
rf_MorganFP,0.878854482,,
rf_Path,0.787475714,,
rf_PharmacoErGFP,0.832600697,,
rf_PharmacoPFP,0.826310877,,
rf_Property,0.795111415,,
rf_PubChemFP,0.761247327,,
rf_RDkitFP,0.852560972,,
rf_Topology,0.722992847,,
rf_TorsionFP,0.865097196,,
fcnn_AtomPairFP,0.925362428,,
fcnn_Autocorr,0.843770603,,
fcnn_AvalonFP,0.857470751,,
fcnn_Charge,0.906959355,,
fcnn_Connectivity,0.905647437,,
fcnn_Constitution,0.87778153,,
fcnn_Estate,0.900998632,,
fcnn_EstateFP,0.846726914,,
fcnn_Fragment,0.79716599,,
fcnn_InfoContent,0.890318533,,
fcnn_Kappa,0.909536858,,
fcnn_MACCSFP,0.862262428,,
fcnn_MAP4,0.932643771,,
fcnn_Matrix,0.889956971,,
fcnn_MHFP6,0.892157396,,
fcnn_MOE,0.909028053,,
fcnn_MorganFP,0.916301668,,
fcnn_Path,0.854541143,,
fcnn_PharmacoErGFP,0.899760664,,
fcnn_PharmacoPFP,0.892837485,,
fcnn_Property,0.897272706,,
fcnn_PubChemFP,0.860367616,,
fcnn_RDkitFP,0.896824181,,
fcnn_Topology,0.915682693,,
fcnn_TorsionFP,0.908191264,,
lr_AtomPairFP,0.90268959,,
lr_Autocorr,0.802236983,,
lr_AvalonFP,0.666227085,,
lr_Charge,0.814333626,,
lr_Connectivity,0.730975872,,
lr_Constitution,0.703396177,,
lr_Estate,0.749308066,,
lr_EstateFP,0.599231546,,
lr_Fragment,0.516215688,,
lr_InfoContent,0.75582039,,
lr_Kappa,0.728794243,,
lr_MACCSFP,0.626143727,,
lr_MAP4,0.849011755,,
lr_Matrix,0.734899547,,
lr_MHFP6,0.785060727,,
lr_MOE,0.837208166,,
lr_MorganFP,0.79754811,,
lr_Path,0.70987594,,
lr_PharmacoErGFP,0.813242812,,
lr_PharmacoPFP,0.547100387,,
lr_Property,0.699016639,,
lr_PubChemFP,0.635049331,,
lr_RDkitFP,0.596756862,,
lr_Topology,0.765605158,,
lr_TorsionFP,0.577431539,,
dmpnn_AtomPairFP,0.900866139,,
dmpnn_Autocorr,0.773061769,,
dmpnn_AvalonFP,0.623669044,,
dmpnn_Charge,0.778711211,,
dmpnn_Connectivity,0.743935398,,
dmpnn_Constitution,0.779753183,,
dmpnn_Estate,0.736381101,,
dmpnn_EstateFP,0.638663671,,
dmpnn_Fragment,0.557308456,,
dmpnn_InfoContent,0.808830712,,
dmpnn_Kappa,0.744521507,,
dmpnn_MACCSFP,0.713864739,,
dmpnn_MAP4,0.833382176,,
dmpnn_Matrix,0.761307024,,
dmpnn_MHFP6,0.829637589,,
dmpnn_MOE,0.828904953,,
dmpnn_MorganFP,0.809726157,,
dmpnn_Path,0.685357038,,
dmpnn_PharmacoErGFP,0.851779493,,
dmpnn_PharmacoPFP,0.715867279,,
dmpnn_Property,0.760525545,,
dmpnn_PubChemFP,0.727101039,,
dmpnn_RDkitFP,0.809547068,,
dmpnn_Topology,0.780046238,,
dmpnn_TorsionFP,0.72952688,,
svm_AtomPairFP,0.902005796,,
svm_Autocorr,0.515531894,,
svm_AvalonFP,0.819369824,,
svm_Charge,0.77708313,,
svm_Connectivity,0.750382599,,
svm_Constitution,0.752390566,,
svm_Estate,0.800885676,,
svm_EstateFP,0.686333887,,
svm_Fragment,0.579124744,,
svm_InfoContent,0.717137182,,
svm_Kappa,0.805444303,,
svm_MACCSFP,0.777891743,,
svm_MAP4,0.860864185,,
svm_Matrix,0.594135652,,
svm_MHFP6,0.918910705,,
svm_MOE,0.590374784,,
svm_MorganFP,0.9094407,,
svm_Path,0.76365146,,
svm_PharmacoErGFP,0.850542151,,
svm_PharmacoPFP,0.819966787,,
svm_Property,0.726042786,,
svm_PubChemFP,0.782879099,,
svm_RDkitFP,0.869948878,,
svm_Topology,0.765881932,,
svm_TorsionFP,0.872494112,,
