Journal name,Article/Patent Title,DOI/Pantent number,Article/Patent,Cell line name,Assay name,Standard Type,SMILES,Standard Relation,Standard Value,Standard Units
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA1 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(CC(C#CC)C1=CC=C(OCC2=CC=C(C=C2)C3=CC=CC=C3)C=C1)O[H],=,7.7,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA2 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(CC(C#CC)C1=CC=C(OCC2=CC=C(C=C2)C3=CC(OC)=CC=C3)C=C1)O[H],=,2.3,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA3 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@H](C#CC)C1=CC=C(OCC2=CC=C(C=C2)C3=CC(OC)=CC=C3)C=C1)O[H],=,0.65,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA4 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C#CC)C1=CC=C(OCC2=CC=C(C=C2)C3=CC(OC)=CC=C3)C=C1)O[H],=,4,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA5 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C#CC)C1=CC=C(OCC2=CC=C(C=C2)C3=CC(OC)=CC=C3F)C=C1)O[H],=,2.3,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA6 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(CCC1=CC=C(OCC2=CC=C(C=C2)C3=CC(OC)=CC=C3F)C=C1)O[H],=,1.9,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA7 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,FC1=CC=C(OC)C=C1C2=CC=C(COC3=CC=CC(CCC(O[H])=O)=C3)C=C2,=,1.2,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA8 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(CCC1=CC(OCC2=CC=C(C3=C(F)C=CC(OC)=C3)C(C(C)(C)C)=C2)=CC=C1)O[H],=,0.9,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA9 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C)C1=CC(OCC2=CC=C(C3=C(F)C=CC(OC)=C3)C(C(C)(C)C)=C2)=CC=C1)O[H],=,0.77,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA10 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](CC)C1=CC(OCC2=CC=C(C3=C(F)C=CC(OC)=C3)C(C(C)(C)C)=C2)=CC=C1)O[H],=,0.68,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA11 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](CCC)C1=CC(OCC2=CC=C(C3=C(F)C=CC(OC)=C3)C(C(C)(C)C)=C2)=CC=C1)O[H],=,0.69,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA12 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C(C)C)C1=CC(OCC2=CC=C(C3=C(F)C=CC(OC)=C3)C(C(C)(C)C)=C2)=CC=C1)O[H],=,2.2,¦ÌM
ACS MEDICINAL CHEMISTRY LETTERS,Discovery of AM-1638: A Potent and Orally Bioavailable GPR40/FFA13 Full Agonist,10.1021/ml300133f,Article,CHO,Unknown,EC50,O=C(C[C@@H](C1CC1)C2=CC(OCC3=CC=C(C4=C(F)C=CC(OC)=C4)C(C(C)(C)C)=C3)=CC=C2)O[H],=,0.37,¦ÌM
