Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4238097,,0,542.08,2,6.44,25,Cl.O=C(O)C[C@@H]1COc2cc(OCc3cccc(-c4cccc5c4CCN(Cc4ccccc4)C5)c3)ccc21,EC50,'=',5400,nM,5.27,,,UO_0000065,,,,,FALSE,CHEMBL4235682,Transactivation of human GPR40 expressed in HEK293 cells after 24 hrs by Elk-Gal4 luciferase reporter assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4229516,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL475053,,0,424.43,0,4.04,6,Cc1cccc(C)c1-c1cccc(COc2ccc(Cn3oc(=O)[n-]c3=O)cc2)c1.[Na+],EC50,'=',260,nM,6.58,,,UO_0000065,,,,,FALSE,CHEMBL943674,Agonist activity at GPR40,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141015,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,None,
CHEMBL277845,,0,294.35,0,3.26,14,CC(C)CC(=O)c1c(O)cc(O)c(C(=O)CC(C)C)c1O,EC50,'=',6000,nM,5.22,,,UO_0000065,,,,,FALSE,CHEMBL946732,Agonist activity at human GPR40 expressed in CHOK1 cells by fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141015,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307512,
CHEMBL267476,LINOLEIC ACID,2,280.45,1,5.88,Linoleic acid,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,EC50,'=',540,nM,6.27,,,UO_0000065,,,,,FALSE,CHEMBL946732,Agonist activity at human GPR40 expressed in CHOK1 cells by fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141015,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2008,CHEMBL3307512,
CHEMBL4537190,,0,399.85,1,5.53,18,Cc1ccc(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(Cl)c1,EC50,'=',22.5,nM,7.65,,,UO_0000065,19.13,0.37,2.12,13.06,FALSE,CHEMBL4354542,Agonist activity at FFA1 receptor (unknown origin) stably expressed in CHO cells assessed as increase in calcium flux by Fluo4-AM based FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4351021,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308072,
CHEMBL4468987,,0,423.48,1,5.67,20,CCCOc1ccc(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1,EC50,'=',41.3,nM,7.38,,,UO_0000065,17.44,0.33,1.71,10.89,FALSE,CHEMBL4354542,Agonist activity at FFA1 receptor (unknown origin) stably expressed in CHO cells assessed as increase in calcium flux by Fluo4-AM based FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4351021,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308072,
CHEMBL488396,,0,295.29,0,3.01,15,O=C(O)CCc1ccc(C#Cc2cccc([N+](=O)[O-])c2)cc1,EC50,'=',58.88,nM,7.23,,,UO_0000065,,,,,FALSE,CHEMBL949441,Agonist activity at human FFA1 expressed in human 1321N1 cells by calcium fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1152274,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL526510,,0,275.31,0,2.98,16,N#Cc1cccc(C#Cc2ccc(CCC(=O)O)cc2)c1,EC50,'=',91.2,nM,7.04,,,UO_0000065,,,,,FALSE,CHEMBL949441,Agonist activity at human FFA1 expressed in human 1321N1 cells by calcium fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1152274,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL485738,,0,264.32,0,3.41,21,Cc1ccc(C#Cc2ccc(CCC(=O)O)cc2)cc1,EC50,'=',107.15,nM,6.97,,,UO_0000065,,,,,FALSE,CHEMBL949441,Agonist activity at human FFA1 expressed in human 1321N1 cells by calcium fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1152274,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL3759866,,0,463.56,1,5.18,2d,COc1cccc(O[C@@H](CCOc2ccc(CC3SC(=O)NC3=O)cc2)c2ccccc2)c1,EC50,'=',19580,nM,4.71,,,UO_0000065,10.16,0.19,-0.47,6.37,FALSE,CHEMBL3760345,Agonist activity at human FFAR1 expressed in CHO-K1 cells assessed as calcium flux measured for 100 secs by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3758151,1,Scientific Literature,Eur. J. Med. Chem.,2016,CHEMBL3307512,
CHEMBL3787580,,0,264.32,0,3.3,10,O=C(O)CCc1ccc(C#CCc2ccccc2)cc1,EC50,'=',389.05,nM,6.41,,,UO_0000065,24.25,0.44,3.11,17.18,FALSE,CHEMBL3791346,Agonist activity at human FFA1 receptor expressed in human 1321N1 cells measured for 50 intervals of 0.4 secs by calcium mobilization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3785041,1,Scientific Literature,J. Med. Chem.,2016,None,
