,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,,
0,0,151,200,0.999986984,0.933146983,0.974411765,0.936374589,,
1,1,151,200,0.999914896,0.929438827,0.912156863,0.93238579,,
2,2,151,200,0.999961184,0.959111685,0.962289562,0.949822539,,
3,3,151,200,0.99988056,0.930847953,0.921441948,0.88141057,,
4,4,151,200,0.999971569,0.941795818,0.942286801,0.924652405,0.942517388,0.924929178
5,0,151,400,0.999994641,0.933426508,0.973970588,0.938686464,,
6,1,151,400,0.999840335,0.926015086,0.915343137,0.930220442,,
7,2,151,400,0.999965751,0.959509141,0.966955267,0.947380417,,
8,3,151,400,0.999956359,0.935916179,0.933005618,0.951418059,,
9,4,151,400,0.999979253,0.94302583,0.937896071,0.931067044,0.945434136,0.939754485
10,0,151,600,0.999992344,0.933985558,0.973627451,0.930839113,,
11,1,151,600,0.999864436,0.928154924,0.913921569,0.929862264,,
12,2,151,600,0.999974123,0.957422496,0.967484367,0.949985347,,
13,3,151,600,0.999950233,0.939717349,0.929775281,0.948813129,,
14,4,151,600,0.999970032,0.945387454,0.937556582,0.92836443,0.94447305,0.937572857
15,0,151,800,0.999993109,0.936594456,0.973529412,0.940672723,,
16,1,151,800,0.999871967,0.927191997,0.912107843,0.932825372,,
17,2,151,800,0.999977928,0.956379173,0.966955267,0.946501254,,
18,3,151,800,0.999946405,0.937962963,0.930196629,0.949920224,,
19,4,151,800,0.999973874,0.942091021,0.935497012,0.93057862,0.943657233,0.940099639
20,0,151,1000,0.999996172,0.933286746,0.97377451,0.930187881,,
21,1,151,1000,0.999864436,0.924517199,0.911764706,0.93077399,,
22,2,151,1000,0.999962706,0.95677663,0.965416065,0.946240761,,
23,3,151,1000,0.99995253,0.936159844,0.929728464,0.950766826,,
24,4,151,1000,0.999976179,0.945584256,0.932554771,0.932662564,0.942647703,0.938126404
25,0,151,1200,0.999994641,0.937339856,0.973480392,0.938100355,,
26,1,151,1200,0.99983657,0.926015086,0.912254902,0.938295725,,
27,2,151,1200,0.999971839,0.957472178,0.967291967,0.948878252,,
28,3,151,1200,0.999948702,0.938693957,0.926872659,0.948878252,,
29,4,151,1200,0.999975411,0.942681427,0.934365381,0.928429553,0.94285306,0.940516427
,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,,
0,0,151,200,0.999980093,0.934544608,0.972843137,0.931262414,,
1,1,151,200,0.999691968,0.92264484,0.911764706,0.939370258,,
2,2,151,200,0.999974123,0.955832671,0.966089466,0.943603269,,
3,3,151,200,0.999911951,0.933187135,0.925749064,0.907818046,,
4,4,151,200,0.999957738,0.94199262,0.942060474,0.918368011,0.943701369,0.9280844
5,0,151,400,0.999995406,0.934824132,0.974705882,0.922894077,,
6,1,151,400,0.999831298,0.923554272,0.913137255,0.938263163,,
7,2,151,400,0.999980211,0.956975358,0.966185666,0.929243594,,
8,3,151,400,0.999944874,0.94502924,0.925468165,0.935169809,,
9,4,151,400,0.999971569,0.946519065,0.939933007,0.926247924,0.943885995,0.930363713
10,0,151,600,0.999996172,0.935988819,0.975490196,0.934095275,,
11,1,151,600,0.999850126,0.927726957,0.911715686,0.941258832,,
12,2,151,600,0.999969556,0.958217409,0.967628668,0.94181238,,
13,3,151,600,0.999944874,0.938499025,0.930290262,0.94884569,,
14,4,151,600,0.999975411,0.947109471,0.939208763,0.921005503,0.944866715,0.937403536
15,0,151,800,0.999990047,0.933286746,0.975245098,0.934160399,,
16,1,151,800,0.999890042,0.926817525,0.916813725,0.930318127,,
17,2,151,800,0.999973362,0.955981717,0.969023569,0.94562209,,
18,3,151,800,0.999942577,0.9417154,0.929026217,0.946273322,,
19,4,151,800,0.999973106,0.940418204,0.932147384,0.929536648,0.944451199,0.937182117
20,0,151,1000,0.999996172,0.936361519,0.972941176,0.931685715,,
21,1,151,1000,0.999877992,0.928288664,0.912745098,0.932043893,,
22,2,151,1000,0.999976406,0.955186804,0.967869168,0.947282733,,
23,3,151,1000,0.99995253,0.938937622,0.930337079,0.949366676,,
24,4,151,1000,0.999976179,0.941795818,0.936175991,0.92777832,0.944013702,0.937631468
25,0,151,1200,0.999995406,0.93449802,0.972401961,0.935983849,,
26,1,151,1200,0.99983657,0.92542663,0.909313725,0.937742177,,
27,2,151,1200,0.999970317,0.957124404,0.966474266,0.949985347,,
28,3,151,1200,0.999958655,0.941861598,0.929541199,0.945752336,,
29,4,151,1200,0.999974643,0.94499385,0.936900235,0.926280486,0.942926277,0.939148839
,fold,Top_n_feats,n_Dense,Ext_rm_sim_0_6_roc_auc,Ext_rm_sim_0_7_roc_auc,Ext_rm_sim_0_8_roc_auc,Ext_rm_sim_0_9_roc_auc,,
0,0,151,800,0.037037037,0.778947368,0.856150235,0.923427641,,
1,1,151,800,0.074074074,0.722105263,0.854741784,0.921636475,,
2,2,151,800,0,0.813684211,0.880093897,0.937349888,,
3,3,151,800,0.074074074,0.785263158,0.888262911,0.938164055,,
4,4,151,800,0.074074074,0.787368421,0.86685446,0.929167515,0.869220657,0.929949115
,fold,Top_n_feats,n_Dense,Ext_rm_sim_0_6_roc_auc,Ext_rm_sim_0_7_roc_auc,Ext_rm_sim_0_8_roc_auc,Ext_rm_sim_0_9_roc_auc,,
0,0,20,800,0.407407407,0.814736842,0.882159624,0.933767555,,
1,1,20,800,0.444444444,0.825263158,0.901032864,0.941339304,,
2,2,20,800,0.259259259,0.811578947,0.901032864,0.944880928,,
3,3,20,800,0.185185185,0.829473684,0.9142723,0.951557093,,
4,4,20,800,0.481481481,0.82,0.901220657,0.942926929,0.899943662,0.942894362
,fold,Top_n_feats,n_Dense,Ext_rm_sim_0_6_roc_auc,Ext_rm_sim_0_7_roc_auc,Ext_rm_sim_0_8_roc_auc,Ext_rm_sim_0_9_roc_auc,,
0,0,20,800,0.407407407,0.814736842,0.882159624,0.933767555,,
1,1,20,800,0.444444444,0.825263158,0.901032864,0.941339304,,
2,2,20,800,0.259259259,0.811578947,0.901032864,0.944880928,,
3,3,20,800,0.185185185,0.829473684,0.9142723,0.951557093,,
4,4,20,800,0.481481481,0.82,0.901220657,0.942926929,0.899943662,0.942894362
,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,,
0,0,20,800,0.999607227,0.929652923,0.973872549,0.944319625,,
1,1,20,800,0.999679165,0.949232333,0.932843137,0.949268992,,
2,2,20,800,0.999687949,0.970786963,0.965800866,0.952101853,,
3,3,20,800,0.999526069,0.937426901,0.931694757,0.95907004,,
4,4,20,800,0.999630398,0.939680197,0.957993844,0.943342776,0.952441031,0.949620657
