,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,Ext_rm_sim_0_6_roc_auc,Ext_rm_sim_0_7_roc_auc,Ext_rm_sim_0_8_roc_auc,Ext_rm_sim_0_9_roc_auc,,,,,,
0,0,140,800,0.999994641,0.93137666,0.974264706,0.932825372,0.037037037,0.792631579,0.854929577,0.921840016,,,,,,
1,1,140,800,0.999827532,0.926978013,0.910441176,0.927843444,0.074074074,0.698947368,0.849671362,0.918664767,,,,,,
2,2,140,800,0.999967273,0.958813593,0.967532468,0.93959819,0.037037037,0.795789474,0.87286385,0.930795848,,,,,,
3,3,140,800,0.99994564,0.939376218,0.926544944,0.946566377,0.074074074,0.787368421,0.890985915,0.938693263,,,,,,
4,4,140,800,0.999980022,0.940123001,0.933686402,0.928234183,0.111111111,0.787368421,0.86629108,0.927539182,0.942493939,0.935013513,0.066666667,0.772421053,0.866948357,0.927506615
5,0,130,800,0.999994641,0.93331004,0.973431373,0.935169809,0,0.774736842,0.863192488,0.924893141,,,,,,
6,1,130,800,0.999813976,0.927245493,0.909215686,0.940705285,0.111111111,0.782105263,0.889671362,0.935436597,,,,,,
7,2,130,800,0.999973362,0.953795707,0.966810967,0.945166227,0.148148148,0.848421053,0.88657277,0.938123346,,,,,,
8,3,130,800,0.999963249,0.935331384,0.929330524,0.947608349,0.074074074,0.813684211,0.89286385,0.939426013,,,,,,
9,4,130,800,0.999979253,0.934907749,0.932283179,0.930122757,0.148148148,0.778947368,0.872676056,0.930144515,0.942214346,0.939754485,0.096296296,0.799578947,0.880995305,0.933604722
10,0,120,800,0.999996937,0.933892383,0.972843137,0.933574289,0.074074074,0.772631579,0.852676056,0.922043558,,,,,,
11,1,120,800,0.999893808,0.924410207,0.91,0.933444043,0.148148148,0.734736842,0.863004695,0.925340932,,,,,,
12,2,120,800,0.999974123,0.954391892,0.966233766,0.938621341,0,0.790526316,0.865915493,0.92928964,,,,,,
