,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,,,
0,0,50,800,0.999876732,0.923806196,0.961127451,0.923903487,,,
1,1,50,800,0.999843348,0.927111753,0.926151961,0.933053303,,,
2,2,50,800,0.999902579,0.960304054,0.965632516,0.93277653,,,
3,3,50,800,0.999807059,0.922758285,0.917368914,0.932874214,,,
4,4,50,800,0.999866298,0.926371464,0.949393446,0.931881085,0.943934857,0.930897724,
5,0,40,800,0.999898936,0.923573259,0.961495098,0.925075706,,,
6,1,40,800,0.999869708,0.920959718,0.928186275,0.938767868,,,
7,2,40,800,0.999869091,0.970861486,0.959451659,0.93759565,,,
8,3,40,800,0.999820075,0.915375244,0.912640449,0.941307675,,,
9,4,40,800,0.999851698,0.920246002,0.953784175,0.930301846,0.943111531,0.934609749,
10,0,30,800,0.999835388,0.927649662,0.962720588,0.925075706,,,
11,1,30,800,0.998948624,0.916091585,0.904068627,0.934437172,,,
12,2,30,800,0.999859958,0.965644873,0.957190957,0.933509166,,,
13,3,30,800,0.998887143,0.912280702,0.911610487,0.94321253,,,
14,4,30,800,0.998899262,0.913677737,0.950276118,0.928152779,0.937173356,0.932877471,
15,0,25,800,0.999862185,0.922990915,0.962205882,0.923903487,,,
16,1,25,800,0.998949377,0.91761622,0.90629902,0.941275113,,,
17,2,25,800,0.999809725,0.947163156,0.956180856,0.936814171,,,
18,3,25,800,0.998898628,0.912621832,0.906132959,0.942496174,,,
19,4,25,800,0.998875058,0.913628536,0.947062285,0.926475856,0.9355762,0.93419296,
20,0,20,800,0.999819309,0.917843,0.956617647,0.926703787,,,
21,1,20,800,0.998979503,0.914593698,0.899289216,0.934974439,,,
22,2,20,800,0.998850739,0.94726252,0.956349206,0.935218651,,,
23,3,20,800,0.998853838,0.902168616,0.907490637,0.950587737,,,
24,4,20,800,0.998891194,0.907921279,0.93685497,0.93118101,0.931320335,0.935733125,
25,0,15,800,0.999702549,0.919846261,0.957132353,0.92435935,,,
26,1,15,800,0.998909838,0.91510191,0.898112745,0.926703787,,,
27,2,15,800,0.998800507,0.948380366,0.956253006,0.932499756,,,
28,3,15,800,0.998831634,0.897636452,0.903394195,0.95425092,,,
29,4,15,800,0.99884509,0.902706027,0.938371356,0.934469734,0.930652731,0.934456709,
30,0,10,800,0.998906667,0.918262287,0.950661765,0.920077497,,,
31,1,10,800,0.998968959,0.911544428,0.892622549,0.925678096,,,
32,2,10,800,0.99880964,0.939984102,0.948893699,0.929243594,,,
33,3,10,800,0.998867237,0.897270955,0.898174157,0.953795057,,,
34,4,10,800,0.998923083,0.899557196,0.933595872,0.931148448,0.924789608,0.931988538,
,threshold,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,,
0,0.3,0,20,800,0.999824669,0.918169113,0.956323529,0.924294227,,
1,0.3,1,20,800,0.9989908,0.915128658,0.899240196,0.934779069,,
2,0.3,2,20,800,0.998906299,0.947809022,0.957022607,0.934502296,,
3,0.3,3,20,800,0.998891354,0.901681287,0.908473783,0.949806258,,
4,0.3,4,20,800,0.998885047,0.908314883,0.93780554,0.932809091,0.931773131,0.935238188
5,0.4,0,20,800,0.999822372,0.91765665,0.956372549,0.922438214,,
6,0.4,1,20,800,0.998996825,0.914219226,0.899289216,0.934486015,,
7,0.4,2,20,800,0.998896405,0.947709658,0.956685907,0.937693335,,
8,0.4,3,20,800,0.998838525,0.901973684,0.907677903,0.951564586,,
9,0.4,4,20,800,0.998876594,0.907330873,0.936990766,0.931669434,0.931403268,0.935570317
10,0.5,0,20,800,0.999803996,0.917516888,0.9575,0.924457035,,
11,0.5,1,20,800,0.99900059,0.914326218,0.899142157,0.934779069,,
12,0.5,2,20,800,0.998875855,0.947659976,0.957166907,0.934241803,,
13,0.5,3,20,800,0.998896714,0.901924951,0.907865169,0.951890202,,
14,0.5,4,20,800,0.998893499,0.907822878,0.93780554,0.933851063,0.931895955,0.935843834
15,0.6,0,20,800,0.999821606,0.917283951,0.956078431,0.924717528,,
16,0.6,1,20,800,0.99892829,0.915556625,0.899730392,0.933444043,,
17,0.6,2,20,800,0.998916194,0.947312202,0.956830207,0.934078994,,
18,0.6,3,20,800,0.998885995,0.900901559,0.907958801,0.951108723,,
19,0.6,4,20,800,0.998862763,0.908757688,0.937398153,0.934958158,0.931599197,0.935661489
20,0.7,0,20,800,0.999800934,0.9174703,0.956078431,0.924978021,,
21,0.7,1,20,800,0.998971971,0.91416573,0.899436275,0.933606851,,
22,0.7,2,20,800,0.998893361,0.948107114,0.956878307,0.932125297,,
23,0.7,3,20,800,0.998892886,0.902412281,0.90744382,0.951694832,,
24,0.7,4,20,800,0.998872752,0.908216482,0.937669745,0.932646283,0.931501316,0.935010257
