optimizer,n_dense,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std
adam,1000,0.968725171542073,0.005843349532735496,0.968725171542073,0.005843349532735496,0.9095100864553315,0.013143232565984288,0.889090909090909,0.01485119022973141
adam,200,0.9640303358613218,0.0025740021207952862,0.9640303358613218,0.0025740021207952862,0.906628242074928,0.012660451087313462,0.8949999999999999,0.011961543060855218
adam,400,0.9621524015890213,0.006882559335252651,0.9621524015890213,0.006882559335252651,0.906628242074928,0.0121585147606507,0.8813636363636365,0.013387887704566483
adam,600,0.9640303358613218,0.009012625934164895,0.9640303358613218,0.009012625934164895,0.906628242074928,0.013608897928665861,0.8918181818181818,0.015547846705897329
adam,800,0.9659804983748647,0.0076541491032078345,0.9659804983748647,0.0076541491032078345,0.9077809798270895,0.011882148776996167,0.8922727272727272,0.00998449210749494
rmsprop,1000,0.9321054532322137,0.047736939132313076,0.9321054532322137,0.047736939132313076,0.8818443804034584,0.041160970769699476,0.8468181818181819,0.042445881927013644
rmsprop,200,0.9620079451065365,0.002520237821938279,0.9620079451065365,0.002520237821938279,0.899135446685879,0.013206270014281967,0.884090909090909,0.013730734060902897
rmsprop,400,0.9450343084145901,0.028341417579466757,0.9450343084145901,0.028341417579466757,0.8904899135446686,0.028088744509535957,0.8518181818181818,0.04247021318835669
rmsprop,600,0.9412784398699892,0.024857955490544655,0.9412784398699892,0.024857955490544655,0.8847262247838616,0.01717056957898124,0.8531818181818182,0.0302622832106893
rmsprop,800,0.9509570241964609,0.021112711511910364,0.9509570241964609,0.021112711511910364,0.885878962536023,0.03364483889958792,0.8604545454545456,0.035595581952616744
