optimizer,n_dense,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std
adam,800,0.9930503476149438,0.0032502278806709,0.9930503476149438,0.0032502278806709,0.939961211119923,0.0247174783708698,0.9285630555826904,0.0110266319305176
rmsprop,800,0.9933240005410078,0.0023365436388919,0.9933240005410078,0.0023365436388919,0.9418122609197098,0.0240571837185437,0.9281592914590864,0.0079608140353514
rmsprop,400,0.993438800363342,0.0015254399860328,0.993438800363342,0.0015254399860328,0.9406518055089008,0.02582765543988,0.9272150043958192,0.0066478921213926
adam,1000,0.9934983553945964,0.002521420066898,0.9934983553945964,0.002521420066898,0.941787751046585,0.0243365174304385,0.9270131223340172,0.0125997493171236
rmsprop,600,0.9928737712844088,0.0022131310973655,0.9928737712844088,0.0022131310973655,0.938728504414708,0.0266177213592435,0.9266256390218488,0.0184219679974404
adam,600,0.9911683085047136,0.0052728871055398,0.9911683085047136,0.0052728871055398,0.93854793109674,0.0271960907912446,0.926576796587542,0.0127465882109302
adam,200,0.9922861464653832,0.0014996809220048,0.9922861464653832,0.0014996809220048,0.9392119856088575,0.0246468463798993,0.9246361238644134,0.0125836454844462
rmsprop,200,0.9926339140153344,0.0013345617158569,0.9926339140153344,0.0013345617158569,0.9393027702584698,0.0258153365716583,0.9241737488196412,0.0093569323332174
adam,400,0.9911798280387336,0.0036314880250556,0.9911798280387336,0.0036314880250556,0.9385138627909632,0.0252469727710879,0.92378952166976,0.0116029769126546
rmsprop,1000,0.9918584256987636,0.0042325021335274,0.9918584256987636,0.0042325021335274,0.9426165910073564,0.0236498401803363,0.9225782292989482,0.0128271594248911
