threshold,topN,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,547.4,116.31981774401127,547.4,116.31981774401127,75.4,7.893034904268445,84.0,6.708203932499369,9.0,0.0,36.0,4.472135954999579,68.0,6.708203932499369,82.0,6.708203932499369
0.1,Top100,461.2,33.40957946457872,461.2,33.40957946457872,76.2,5.215361924162118,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.1,Top120,269.8,82.42997027780612,269.8,82.42997027780612,66.8,8.497058314499201,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.1,Top130,235.6,65.53853828092294,235.6,65.53853828092294,66.4,9.09945053286186,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.1,Top140,207.8,54.14055781020362,207.8,54.14055781020362,63.6,6.913754406977442,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.1,Top15,562.2,97.60481545497639,562.2,97.60481545497639,76.6,5.68330889535313,85.4,3.577708763999662,9.0,0.0,37.4,1.3416407864998738,69.4,3.577708763999662,83.4,3.577708763999662
0.1,Top20,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.1,Top25,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.1,Top30,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.1,Top40,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
