threshold,topN,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.9981343283582089,0.0026384581387557033,0.9981343283582089,0.0026384581387557033,0.4117647058823529,0.582323231565392,0.75,,0.0,,0.7142857142857143,,0.75,,0.75,
0.1,Top100,1.0,0.0,1.0,0.0,0.9583333333333334,0.0833333333333333,,,,,,,,,,
0.1,Top120,1.0,0.0,1.0,0.0,0.9218546365914786,0.06147441050011801,0.0,,,,,,,,,
0.1,Top130,0.9994897959183673,0.0011408510089284405,0.9994897959183673,0.0011408510089284405,0.9283157663592446,0.047021730276170196,0.0,0.0,,,,,,,,
0.1,Top140,1.0,0.0,1.0,0.0,0.9319131161236424,0.04505279281347215,0.0,0.0,,,,,,,,
0.1,Top15,0.995475113122172,,0.995475113122172,,0.6666666666666666,,0.8,,0.0,,0.75,,0.8,,0.8,
0.1,Top20,,,,,,,,,,,,,,,,
0.1,Top25,,,,,,,,,,,,,,,,
0.1,Top30,,,,,,,,,,,,,,,,
0.1,Top40,,,,,,,,,,,,,,,,
0.1,Top50,1.0,0.0,1.0,0.0,0.8888888888888888,,,,,,,,,,,
0.1,Top60,1.0,0.0,1.0,0.0,0.9,,,,,,,,,,,
0.1,Top70,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,
0.1,Top80,1.0,0.0,1.0,0.0,0.6666666666666666,0.5773502691896258,,,,,,,,,,
0.1,Top90,1.0,0.0,1.0,0.0,0.9,,,,,,,,,,,
0.2,Top10,0.9987987987987988,0.002080541510593241,0.9987987987987988,0.002080541510593241,0.9040098970228794,0.047260942008891596,0.8075880758807589,0.17252893270891065,0.5,0.0,0.691304347826087,0.12912384699928264,0.7675070028011205,0.21097848804090244,0.8075880758807589,0.17252893270891065
0.2,Top100,1.0,0.0,1.0,0.0,0.9277220502235982,0.04805226957508213,0.0,0.0,,,,,,,,
0.2,Top120,0.9996422182468694,0.0008000243211090534,0.9996422182468694,0.0008000243211090534,0.9430110149488591,0.0377673087131222,0.3333333333333333,0.4714045207910317,,,,,,,1.0,
