threshold,topN,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.95,Top10,80.4,24.2755020545405,80.4,24.2755020545405,30.0,3.4641016151377544,63.2,6.760177512462227,3.0,0.0,13.2,1.6431676725154984,55.6,8.17312669668102,60.8,7.155417527999328
0.95,Top15,80.2,17.484278652549552,80.2,17.484278652549552,28.6,2.302172886644268,50.8,9.418067742376884,3.0,0.0,11.2,1.095445115010332,47.0,9.72111104761179,48.6,10.237187113655782
0.95,Top20,66.8,5.540758070878027,66.8,5.540758070878027,26.4,4.505552130427524,49.4,11.058933040759404,3.0,0.0,9.4,1.3416407864998738,47.4,10.526157893552616,47.8,10.894952959971878
0.95,Top30,37.2,4.969909455915671,37.2,4.969909455915671,22.6,3.130495168499705,44.0,9.137833441248532,3.0,0.0,8.4,0.547722557505166,41.4,8.294576541331088,42.6,9.01665126307988
0.95,Top25,36.0,3.9370039370059056,36.0,3.9370039370059056,22.6,3.7815340802378072,40.8,11.903780911962384,3.0,0.0,8.2,1.6431676725154984,39.0,11.532562594670797,39.2,11.691877522451216
0.95,Top70,22.0,6.855654600401044,22.0,6.855654600401044,21.0,3.9370039370059056,37.4,9.09945053286186,3.0,0.0,6.2,2.16794833886788,34.0,9.433981132056603,35.8,9.418067742376884
0.95,Top80,17.4,3.049590136395381,17.4,3.049590136395381,19.6,1.1401754250991378,36.2,3.1144823004794877,3.0,0.0,5.4,1.3416407864998736,33.0,2.3452078799117158,34.6,2.6076809620810595
0.95,Top40,27.0,4.47213595499958,27.0,4.47213595499958,20.4,2.8809720581775866,34.4,6.730527468185537,3.0,0.0,5.4,0.894427190999916,32.2,5.890670590009256,33.2,6.496152707564685
0.9,Top10,29.8,5.167204273105526,29.8,5.167204273105526,19.2,1.6431676725154984,34.4,14.41526968183391,3.0,0.0,10.4,2.701851217221259,32.0,12.884098726725126,33.0,13.711309200802088
0.95,Top60,22.6,4.929503017546495,22.6,4.929503017546495,20.2,5.718391382198319,32.8,6.496152707564687,3.0,0.0,5.8,1.6431676725154984,30.2,6.220932405998316,31.6,6.50384501660364
0.95,Top50,20.0,3.3166247903554,20.0,3.3166247903554,19.0,3.5355339059327378,32.2,5.263078946776306,3.0,0.0,5.6,1.140175425099138,29.4,4.159326868617084,30.6,4.878524367060187
0.95,Top90,15.0,1.414213562373095,15.0,1.414213562373095,18.4,3.049590136395381,29.2,7.429670248402685,3.0,0.0,5.4,2.3021728866442674,26.2,6.870225614927067,27.8,7.362064927722384
0.85,Top10,18.6,5.813776741499454,18.6,5.813776741499454,13.6,3.781534080237808,24.2,13.989281611290837,2.8,0.4472135954999578,7.2,3.03315017762062,22.2,12.872451204024818,22.8,13.367871932360812
0.9,Top80,11.0,1.8708286933869709,11.0,1.8708286933869709,15.2,2.280350850198276,20.6,1.949358868961793,3.0,0.0,3.4,0.5477225575051661,19.0,2.3452078799117144,19.4,2.073644135332772
0.9,Top15,24.6,4.61519230368573,24.6,4.61519230368573,17.8,2.774887385102321,20.4,12.0124934963562,3.0,0.0,7.0,1.4142135623730951,19.0,10.88577052853862,19.4,11.392980294900893
0.95,Top100,15.0,2.7386127875258306,15.0,2.7386127875258306,18.4,1.8165902124584947,20.0,4.8476798574163285,3.0,0.0,3.4,0.5477225575051661,17.0,4.301162633521313,18.6,4.722287581247039
0.8,Top10,11.6,9.50263121456368,11.6,9.50263121456368,11.4,3.8470768123342687,20.0,15.016657417681207,2.6,0.5477225575051662,5.8,3.5637059362410923,18.2,13.6088206689632,18.8,14.1315250415516
0.95,Top120,15.8,3.3466401061363023,15.8,3.3466401061363023,17.2,1.0954451150103326,19.2,3.1144823004794877,3.0,0.0,3.6,0.5477225575051661,16.4,2.701851217221259,17.6,3.209361307176242
0.95,Top130,17.2,3.63318042491699,17.2,3.63318042491699,17.4,1.1401754250991385,17.8,3.492849839314596,3.0,0.0,3.6,0.5477225575051661,14.8,3.1937438845342623,16.2,3.5637059362410923
