threshold,topN,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.6,Top40,1.0,0.0,1.0,0.0,0.9849210297226711,0.0140137163901164,1.0,0.0,,,,,1.0,0.0,1.0,0.0
0.6,Top30,1.0,0.0,1.0,0.0,0.9814957353858956,0.0186237068339058,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.6,Top25,1.0,0.0,1.0,0.0,0.9807229589838288,0.0200786088065724,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.6,Top20,1.0,0.0,1.0,0.0,0.980164063884994,0.0198993222787075,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.7,Top40,1.0,0.0,1.0,0.0,0.9592777953753564,0.0197624406150811,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top50,1.0,0.0,1.0,0.0,0.9399759903961584,0.0016977353689953,1.0,0.0,,,,,1.0,,1.0,0.0
0.7,Top30,1.0,0.0,1.0,0.0,0.9531318817772438,0.0260056894817266,0.9928571428571428,0.0159719141249984,1.0,0.0,1.0,0.0,0.9913043478260868,0.0194440693695633,0.9928571428571428,0.0159719141249984
0.7,Top25,1.0,0.0,1.0,0.0,0.9591303543431204,0.014171931091503,0.9724941724941726,0.0381031547630816,0.85,0.2236067977499789,0.9433333333333334,0.0878761755097604,0.9607142857142856,0.0570311407952546,0.9724941724941726,0.0381031547630816
0.5,Top120,0.9993371628152182,0.0009076692471468,0.9993371628152182,0.0009076692471468,0.9102901510896848,0.026267079074747,0.9675,0.0464354390525168,,,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top100,0.999671052631579,0.0007355486768091,0.999671052631579,0.0007355486768091,0.9129650967244952,0.0159713068155072,0.9666666666666666,0.0471404520791032,,,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top140,0.9989948041841816,0.0009178083384089,0.9989948041841816,0.0009178083384089,0.8996290211269173,0.0191306741616565,0.965277777777778,0.0505563186755591,,,1.0,0.0,1.0,0.0,1.0,0.0
0.6,Top100,0.99866934501011,0.0013970373603622,0.99866934501011,0.0013970373603622,0.9038037760431812,0.0208432532872231,0.9601807549175968,0.0393481393169819,0.0,,0.875,0.25,0.9714285714285712,0.063887656499994,0.9818181818181818,0.040655781409087
0.7,Top20,1.0,0.0,1.0,0.0,0.948982683982684,0.0208960796816467,0.9489114114114114,0.0308574769599652,0.71,0.2133072900770154,0.8980952380952381,0.0773261914496103,0.9282142857142855,0.0470832957076485,0.9489114114114114,0.0308574769599652
0.5,Top130,0.9993388411688852,0.000905331075909,0.9993388411688852,0.000905331075909,0.9014909289726132,0.0187077501068084,0.9484848484848484,0.0485794531572163,0.0,,0.9166666666666666,0.1666666666666666,0.9714285714285712,0.063887656499994,0.98,0.0447213595499957
0.6,Top120,0.9986664690634026,0.0007457417743171,0.9986664690634026,0.0007457417743171,0.8886690997469222,0.0201499512859256,0.9434343434343434,0.0590498864770263,,,1.0,0.0,0.9692307692307692,0.0688020916153781,0.98,0.0447213595499957
0.4,Top140,0.9993288288288288,0.0009190734722528,0.9993288288288288,0.0009190734722528,0.9172473239510042,0.0243494668222518,0.9416666666666668,0.0812232862067413,,,,,1.0,0.0,1.0,0.0
0.4,Top120,0.999331096196868,0.000915942792097,0.999331096196868,0.000915942792097,0.9288705360397422,0.0319385834322411,0.94,0.0894427190999915,,,,,1.0,0.0,1.0,0.0
0.6,Top15,0.9966666666666668,0.0074535599249993,0.9966666666666668,0.0074535599249993,0.9431518007857744,0.0607862660313693,0.9361111111111112,0.1428598985624865,0.9166666666666666,0.1666666666666666,0.946969696969697,0.106060606060606,0.932258064516129,0.1514755726693406,0.9391304347826086,0.1361084855869437
0.6,Top60,0.9996688741721854,0.0007404198600992,0.9996688741721854,0.0007404198600992,0.9486767297742909,0.0497114852754737,0.935672514619883,0.0948378639779348,0.0,0.0,0.5833333333333333,0.1178511301977578,0.9111111111111112,0.1448711645600588,0.9395555555555556,0.0968440263108611
0.4,Top130,0.9993316508280384,0.0009151881011635,0.9993316508280384,0.0009151881011635,0.9158595900632702,0.0226039631662541,0.9333333333333332,0.0912870929175276,,,,,1.0,0.0,1.0,0.0
0.3,Top140,0.9996598639455784,0.0007605673392856,0.9996598639455784,0.0007605673392856,0.9344757525083612,0.0236288896903465,0.9266666666666664,0.1011050059206873,,,,,1.0,,1.0,0.0
0.5,Top80,0.999331624704759,0.0009152536799959,0.999331624704759,0.0009152536799959,0.907377397160006,0.0228106214234333,0.9262820512820512,0.0744114536297685,0.0,,0.5,0.7071067811865476,0.96,0.0894427190999915,0.975,0.0559016994374947
0.4,Top100,0.9996672212978368,0.0007441157995007,0.9996672212978368,0.0007441157995007,0.9314418043379146,0.0131006529636738,0.9166666666666666,0.1178511301977578,,,,,1.0,,1.0,0.0
0.6,Top90,0.9993388267179576,0.0009053673532581,0.9993388267179576,0.0009053673532581,0.8968685772181212,0.0289143598143823,0.9152526395173456,0.0623126039558477,0.0,0.0,0.4166666666666666,0.5,0.9006349206349207,0.1168452364106337,0.937948717948718,0.06871603518193
0.8,Top40,0.9996694214876032,0.0007391960256197,0.9996694214876032,0.0007391960256197,0.892864844050828,0.026734354272291,0.913170854688096,0.0112184383518278,0.4366666666666667,0.1416176385749867,0.7587878787878788,0.060363149566006,0.8906693459992692,0.0193832574138877,0.9176243178915592,0.0167474348543084
0.8,Top20,0.9989394013919972,0.0015969183362685,0.9989394013919972,0.0015969183362685,0.9066576939207448,0.0212982717685438,0.9125178180992132,0.035567744484148,0.5619047619047619,0.1363602006026319,0.8604828917212817,0.0298414973338175,0.8980303030303031,0.0441465856943261,0.9169474969474968,0.039488621707182
0.7,Top60,0.9980360065466448,0.0043916228690666,0.9980360065466448,0.0043916228690666,0.9293916609706084,0.0365515135287709,0.9124777183600712,0.1031067569711651,0.5178571428571428,0.4098074875728216,0.7209821428571428,0.229074850190491,0.887496447854504,0.1258116942172757,0.9192644799855426,0.0949078182282022
0.6,Top50,0.9993388267179576,0.0009053673532581,0.9993388267179576,0.0009053673532581,0.9417251258226867,0.0695342500168674,0.912,0.1213260071048247,0.1666666666666666,0.2357022603955158,0.5357142857142857,0.0505076272276105,0.8800000000000001,0.1659986613065164,0.915217391304348,0.1191693049883978
0.3,Top120,0.9996638655462184,0.0007516194882352,0.9996638655462184,0.0007516194882352,0.9480133591898298,0.0382539206106755,0.91,0.1244989959798873,,,,,,,1.0,0.0
0.3,Top130,0.9996638655462184,0.0007516194882352,0.9996638655462184,0.0007516194882352,0.9479086193576868,0.0394326460059402,0.91,0.1244989959798873,,,,,,,1.0,0.0
