threshold,topN,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top40,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top70,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top40,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top40,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top40,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top40,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top100,1.0,0.0,1.0,0.0,0.9992647058823528,0.0016441676305144,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top80,1.0,0.0,1.0,0.0,0.9992647058823528,0.0016441676305144,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top50,1.0,0.0,1.0,0.0,0.9992592592592592,0.0016563466499998,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top60,1.0,0.0,1.0,0.0,0.9992592592592592,0.0016563466499998,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top90,1.0,0.0,1.0,0.0,0.9992592592592592,0.0016563466499998,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top70,1.0,0.0,1.0,0.0,0.9977886710239652,0.0020186885529898,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top50,1.0,0.0,1.0,0.0,0.9977777777777778,0.0049690399499995,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.6,Top40,1.0,0.0,1.0,0.0,0.997763508867848,0.0020421641582949,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top60,1.0,0.0,1.0,0.0,0.9970424836601308,0.0048280097246859,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.6,Top20,1.0,0.0,1.0,0.0,0.9970030525940836,0.0031683892900252,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.6,Top25,1.0,0.0,1.0,0.0,0.9970030525940836,0.0031683892900252,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.6,Top30,1.0,0.0,1.0,0.0,0.9970030525940836,0.0031683892900252,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
