model,feat,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,,89.4,21.23205124334434,89.4,21.23205124334434,20.6,4.878524367060187,62.8,4.3817804600413295,7.0,1.224744871391589,32.4,2.073644135332773,55.8,3.5637059362410928,61.8,4.3817804600413295
DMPNN,AtomPairFP,13.8,6.268084945889685,13.8,6.268084945889685,19.2,5.223876806442596,30.2,5.391351098441528,1.8,0.4216370213557839,8.0,1.8856180831641267,23.8,4.732863826479693,28.6,5.521674464226308
DMPNN,Autocorr,47.8,25.354377224543388,47.8,25.354377224543388,21.8,6.014796569941312,36.2,5.593647190240808,7.2,0.42163702135578396,22.8,3.6147844564602556,31.0,4.268749491621899,35.2,4.779586221049312
DMPNN,AvalonFP,36.8,29.237722969555005,36.8,29.237722969555005,20.4,4.550946177566936,54.4,8.395766128763288,8.2,0.42163702135578385,34.4,1.577621275493231,49.6,8.500980335624043,53.2,8.283853102404835
DMPNN,Charge,82.8,24.234044006085508,82.8,24.234044006085508,21.4,5.834761729877618,44.0,7.542472332656507,6.6,1.07496769977314,27.4,3.921450978627399,39.8,6.779052703405951,42.6,7.676804890925217
DMPNN,Connectivity,99.6,27.845606076682508,99.6,27.845606076682508,21.4,7.904991390816874,48.0,10.1762250149825,6.2,1.5491933384829668,27.0,6.2182527020592095,41.8,9.647106647418523,46.6,9.991107156978261
DMPNN,Constitution,85.2,45.29115685085653,85.2,45.29115685085653,21.8,4.825856285561028,46.6,7.560129334578579,7.2,1.2292725943057186,28.8,4.1311822359545785,41.2,6.646636576327744,44.8,7.161626134397752
DMPNN,Estate,63.6,31.1384007296457,63.6,31.1384007296457,20.8,3.8528488738133038,39.4,5.358275012642698,6.4,0.843274042711568,23.4,2.8751811537130427,32.8,4.442221666388713,37.4,5.358275012642698
DMPNN,EstateFP,92.6,42.78421308016415,92.6,42.78421308016415,21.0,5.497474167490214,59.6,11.364662579925351,8.4,0.5163977794943222,33.0,2.748737083745107,53.8,10.443498775155128,58.2,11.043348928452616
DMPNN,Fragment,92.2,17.2999678869323,92.2,17.2999678869323,22.8,5.391351098441528,63.2,5.593647190240808,7.8,0.4216370213557839,32.8,2.6161889160464775,54.2,5.865151319446072,61.4,5.561774297230456
DMPNN,InfoContent,86.4,17.289688641885178,86.4,17.289688641885178,22.4,5.358275012642698,40.8,11.89584427903758,3.6,3.0983866769659336,18.2,8.202980488145078,34.2,11.38029486046434,39.0,11.604596790352806
DMPNN,Kappa,86.4,23.138231950124837,86.4,23.138231950124837,19.6,5.358275012642698,35.0,5.456901847914967,2.8,1.0327955589886444,15.2,2.6161889160464775,29.2,5.181162460726786,34.0,5.456901847914967
DMPNN,MACCSFP,57.0,23.36188729058031,57.0,23.36188729058031,22.2,6.646636576327743,48.0,8.537498983243797,7.8,0.42163702135578407,27.2,3.4253953543107007,41.8,7.814516406449389,46.4,8.422192905255336
DMPNN,MAP4,8.0,6.146362971528592,8.0,6.146362971528592,19.6,5.758086101783783,35.0,3.527668414752788,3.8,1.0327955589886444,19.0,3.527668414752788,29.2,3.011090610836324,33.6,3.169297153067923
DMPNN,MHFP6,13.4,26.67999666833229,13.4,26.67999666833229,25.2,5.266244708835067,59.4,1.577621275493231,6.2,0.4216370213557839,25.4,1.07496769977314,52.2,1.8135294011647258,58.2,1.2292725943057186
DMPNN,MOE,70.6,34.43899598484899,70.6,34.43899598484899,19.8,4.491968140779471,52.4,3.6270588023294525,8.0,0.0,33.0,3.590109871423003,45.4,4.4020197384584465,50.8,3.9665266081716046
DMPNN,Matrix,108.6,40.6207390927891,108.6,40.6207390927891,22.0,7.241853660800143,41.2,11.573917035971682,4.6,2.3664319132398464,20.8,6.44291169511977,34.4,9.44222196072278,39.6,11.24672791921672
DMPNN,MorganFP,20.6,10.885260166339107,20.6,10.885260166339107,24.0,6.036923425424944,54.2,0.4216370213557833,6.8,0.42163702135578396,30.0,2.82842712474619,46.6,1.2649110640673522,53.2,0.7888106377466156
DMPNN,Path,117.2,28.405007383284456,117.2,28.405007383284456,24.4,5.103375789067903,47.6,8.342661445845685,5.0,1.8856180831641267,22.4,6.345602151621756,40.0,8.615231988880057,45.8,8.175845182269809
DMPNN,PharmacoErGFP,93.4,24.645035560489212,93.4,24.645035560489212,20.2,5.788878225624643,25.0,3.8873012632302,2.6,0.8432740427115678,13.0,3.3333333333333335,20.6,3.687817782917155,23.6,3.687817782917155
DMPNN,PharmacoPFP,66.2,28.731709157498987,66.2,28.731709157498987,20.0,4.898979485566357,61.4,2.8751811537130427,7.6,0.5163977794943222,32.6,2.7162065049951147,53.0,3.1269438398822866,59.4,2.8751811537130427
DMPNN,Property,80.2,25.16964662269042,80.2,25.16964662269042,19.4,6.275171533733382,36.0,8.894442709417556,3.6,1.9550504398153572,16.6,7.381658952355418,30.8,8.879439421745296,34.4,9.106774035482232
DMPNN,PubChemFP,41.2,37.82650452321024,41.2,37.82650452321024,22.2,5.7115866641610396,53.4,3.747591819348052,8.0,0.0,32.8,2.14993539954628,47.4,2.7968235951204035,51.8,3.425395354310702
DMPNN,RDkitFP,20.0,9.116529554118229,20.0,9.116529554118229,17.2,6.511528238439883,50.0,0.6666666666666666,8.0,0.0,35.8,0.4216370213557833,45.4,0.8432740427115675,49.6,0.5163977794943224
DMPNN,Topology,81.6,27.11784980004458,81.6,27.11784980004458,19.8,5.308274463305168,34.6,5.399588461684423,3.2,1.2292725943057183,16.2,2.3475755815545343,29.4,5.561774297230455,33.4,5.521674464226308
DMPNN,TorsionFP,92.2,91.54573841649989,92.2,91.54573841649989,25.8,5.391351098441527,68.2,4.9170903772228725,8.6,0.5163977794943222,35.6,1.0749676997731397,60.8,4.077035960378842,67.0,4.570436400267364
fcnn,AtomPairFP,62.8,12.5777581468241,62.8,12.5777581468241,21.0,4.795831523312719,33.2,3.8340579025361623,2.4,1.3416407864998738,13.8,2.280350850198276,25.0,3.6742346141747673,31.2,3.8340579025361627
fcnn,Autocorr,133.2,55.715347975221334,133.2,55.715347975221334,27.6,10.114346246792227,42.0,8.689073598491383,7.8,0.44721359549995787,26.8,4.8166378315169185,35.4,7.503332592921629,40.8,8.318653737234168
fcnn,AvalonFP,81.8,8.258329128825032,81.8,8.258329128825032,22.2,4.919349550499537,65.6,7.861297602813418,8.6,0.5477225575051662,36.8,0.8366600265340753,59.4,7.6681158050723255,63.8,7.981227975693965
fcnn,Charge,350.8,32.82072515956953,350.8,32.82072515956953,46.8,5.585696017507576,60.8,2.588435821108957,8.0,0.0,35.6,0.547722557505166,49.8,1.483239697419133,58.8,2.588435821108957
fcnn,Connectivity,339.8,53.32635370996221,339.8,53.32635370996221,43.4,9.813256340277675,61.8,1.303840481040529,7.2,1.0954451150103321,36.0,1.0,55.4,1.1401754250991376,59.8,1.303840481040529
fcnn,Constitution,224.2,10.425929215182693,224.2,10.425929215182693,32.8,5.019960159204453,59.8,3.4205262752974135,8.0,0.0,33.4,1.1401754250991376,51.2,3.7013511046643504,57.8,3.4205262752974135
fcnn,Estate,208.8,26.52734438273081,208.8,26.52734438273081,34.6,3.974921382870358,52.2,1.9235384061671335,8.0,0.0,34.6,1.51657508881031,45.0,2.3452078799117144,50.2,1.9235384061671335
fcnn,EstateFP,369.0,14.949916387726057,369.0,14.949916387726057,49.2,3.5637059362410923,57.6,0.8944271909999163,8.0,0.0,36.0,0.0,47.2,0.44721359549995765,55.6,0.8944271909999163
fcnn,Fragment,293.2,15.205262246998567,293.2,15.205262246998567,42.6,6.767569726275452,72.4,1.3416407864998714,8.0,0.0,33.8,0.44721359549995865,58.8,1.3038404810405295,70.4,1.3416407864998714
fcnn,InfoContent,348.6,10.968135666557007,348.6,10.968135666557007,45.8,4.024922359499622,60.4,2.302172886644268,8.0,0.0,36.0,0.0,52.8,1.7888543819998324,58.4,2.302172886644268
fcnn,Kappa,511.0,6.164414002968986,511.0,6.164414002968986,65.2,3.898717737923586,75.4,0.8944271909999153,8.0,0.0,37.0,0.0,67.4,0.8944271909999153,73.4,0.8944271909999153
fcnn,MACCSFP,217.2,4.3243496620879265,217.2,4.3243496620879265,34.0,8.573214099741124,55.2,0.8366600265340751,8.0,0.0,35.0,0.0,46.0,1.224744871391589,53.8,1.3038404810405302
fcnn,MAP4,66.2,19.57549488518745,66.2,19.57549488518745,23.8,6.418722614352485,61.2,8.167006795638166,6.2,1.6431676725154984,26.2,5.974947698515862,53.8,7.463243262818117,59.6,8.018728078691781
fcnn,MHFP6,503.0,146.25149571884725,503.0,146.25149571884725,67.8,18.47159982243011,86.0,2.2360679774997907,9.0,0.0,37.6,0.8944271909999153,70.4,1.3416407864998734,84.0,2.2360679774997907
fcnn,MOE,179.8,10.183319694480772,179.8,10.183319694480772,28.4,5.319774431308154,62.8,0.8366600265340757,8.0,0.0,34.8,1.3038404810405302,54.2,1.3038404810405304,60.8,0.8366600265340757
fcnn,Matrix,391.4,17.784824992110554,391.4,17.784824992110554,51.4,4.61519230368573,72.6,0.5477225575051667,8.0,0.0,35.8,0.44721359549995865,65.6,0.5477225575051667,70.6,0.5477225575051667
fcnn,MorganFP,56.6,11.610340218959994,56.6,11.610340218959994,24.8,5.848076606885378,71.4,3.6469165057620945,8.2,0.44721359549995787,35.8,0.8366600265340751,61.4,2.8809720581775866,69.6,3.7815340802378064
fcnn,Path,500.0,63.178319065958064,500.0,63.178319065958064,62.2,9.391485505499118,77.8,5.890670590009257,8.2,0.44721359549995787,37.2,0.44721359549995815,67.4,2.1908902300206634,75.8,5.890670590009257
fcnn,PharmacoErGFP,209.2,7.661592523751178,209.2,7.661592523751178,30.4,4.979959839195493,41.4,8.619744775803978,6.4,1.3416407864998738,27.2,7.981227975693966,35.8,8.526429498916883,39.4,8.619744775803978
fcnn,PharmacoPFP,212.0,22.67156809750927,212.0,22.67156809750927,30.2,5.06951674225463,69.8,1.7888543819998315,8.0,0.0,33.8,1.7888543819998322,57.8,1.643167672515498,67.8,1.7888543819998315
fcnn,Property,362.8,8.408329203831164,362.8,8.408329203831164,46.8,2.86356421265527,60.6,1.51657508881031,8.0,0.0,35.0,0.0,53.6,1.51657508881031,58.6,1.51657508881031
fcnn,PubChemFP,146.8,11.691877522451218,146.8,11.691877522451218,25.8,6.300793600809346,53.6,3.6469165057620936,8.0,0.0,35.8,1.303840481040529,47.4,3.507135583350036,52.0,3.5355339059327373
fcnn,RDkitFP,134.0,25.748786379167466,134.0,25.748786379167466,25.4,7.503332592921628,59.2,4.868264577855234,8.0,0.0,36.6,0.547722557505166,53.0,3.6742346141747673,58.2,4.868264577855234
fcnn,Topology,480.2,52.50428553937288,480.2,52.50428553937288,60.2,10.256705123966467,76.0,1.5811388300841898,8.0,0.0,36.6,0.8944271909999163,67.8,1.095445115010332,74.0,1.5811388300841898
fcnn,TorsionFP,108.0,27.110883423451916,108.0,27.110883423451916,25.8,6.180614856144977,74.0,3.391164991562633,9.0,0.0,36.6,0.8944271909999157,64.6,2.5099800796022276,72.2,3.114482300479487
log,AtomPairFP,3.0,1.5811388300841898,3.0,1.5811388300841898,15.4,4.774934554525329,25.6,3.7148351242013415,0.8,0.4472135954999579,7.8,2.280350850198276,20.2,2.3874672772626644,25.2,3.0331501776206204
log,Autocorr,68.8,6.978538528947161,68.8,6.978538528947161,15.4,5.128352561983234,20.8,5.890670590009257,4.2,1.3038404810405297,13.4,6.465291950097845,19.0,6.442049363362563,20.6,6.107372593840989
log,AvalonFP,15.6,1.816590212458495,15.6,1.816590212458495,13.6,6.841052550594828,42.0,3.4641016151377544,8.0,0.0,33.8,0.44721359549995765,38.0,2.9154759474226495,41.0,3.4641016151377544
log,Charge,172.4,6.465291950097846,172.4,6.465291950097846,22.6,3.5071355833500366,22.0,4.0,3.4,0.8944271909999159,12.2,2.3874672772626644,16.6,3.049590136395382,20.6,3.5071355833500366
log,Connectivity,141.4,8.173126696681022,141.4,8.173126696681022,17.6,5.412947441089743,17.0,0.7071067811865472,4.0,0.0,11.0,0.0,12.2,0.44721359549995804,15.2,0.44721359549995804
log,Constitution,113.8,5.674504383644443,113.8,5.674504383644443,16.2,6.099180272790763,38.8,0.8366600265340751,8.0,0.0,29.0,0.0,34.0,0.7071067811865472,37.8,0.8366600265340751
