model,feat,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,,0.9487179487179487,0.00702602977910565,0.9487179487179487,0.00702602977910565,0.8985590778097983,0.020111062043075414,0.8486363636363636,0.010365231137264917,0.4166666666666667,0.10206207261596577,0.47301587301587295,0.03253000243161779,0.7321266968325791,0.017929061317790925,0.8245989304812834,0.012194389573252789
DMPNN,AtomPairFP,0.9892379920548935,0.0031520361813512903,0.9892379920548935,0.0031520361813512903,0.9025936599423631,0.011749383171120571,0.8672727272727272,0.021027333647673428,0.6,0.03513641844631531,0.7523809523809524,0.07377111135633176,0.779185520361991,0.03378043482152499,0.8518716577540107,0.023821980566542732
DMPNN,Autocorr,0.9755146262188514,0.012838218554871132,0.9755146262188514,0.012838218554871132,0.8916426512968301,0.023577174188883752,0.8118181818181819,0.02192524238049664,0.3666666666666667,0.07027283689263066,0.5079365079365079,0.06939088385504762,0.6986425339366515,0.03271298150642767,0.786096256684492,0.023172905525846704
DMPNN,AvalonFP,0.9786204405922716,0.016543263341223285,0.9786204405922716,0.016543263341223285,0.8997118155619596,0.014931303921402808,0.7981818181818182,0.01845750585798919,0.21666666666666665,0.043033148291193556,0.3587301587301587,0.025041607547511585,0.632579185520362,0.03471046724257623,0.770053475935829,0.021315972804102308
DMPNN,Charge,0.9583243048031781,0.01018506419740012,0.9583243048031781,0.01018506419740012,0.897406340057637,0.016369958427773865,0.8536363636363637,0.015643526665624588,0.3333333333333333,0.05555555555555556,0.5174603174603174,0.050306304016951194,0.730316742081448,0.03271298150642766,0.8315508021390375,0.018352281891242442
DMPNN,Connectivity,0.9504514265077646,0.00922274163593272,0.9504514265077646,0.00922274163593272,0.8962536023054755,0.02289409277197503,0.875,0.012676667068698088,0.35,0.11653431646335019,0.5396825396825398,0.09640670454120949,0.783710407239819,0.027216274072132632,0.8572192513368984,0.015292413967577296
DMPNN,Constitution,0.9601300108342361,0.021539145647834195,0.9601300108342361,0.021539145647834195,0.8968299711815563,0.013639377021555345,0.8459090909090909,0.02349217871916885,0.26666666666666666,0.12909944487358058,0.45714285714285713,0.07285466445739051,0.7194570135746606,0.04392223160953556,0.823529411764706,0.027325685769618344
DMPNN,Estate,0.9685084868183459,0.00947692756106327,0.9685084868183459,0.00947692756106327,0.8997118155619596,0.013907366817178718,0.8440909090909091,0.014891711970067414,0.31666666666666665,0.08606629658238707,0.5492063492063493,0.008196790150703542,0.7203619909502262,0.03471046724257622,0.8224598930481284,0.017789625596969234
DMPNN,EstateFP,0.9553629469122427,0.017241903068047987,0.9553629469122427,0.017241903068047987,0.9037463976945246,0.01848777978669647,0.8272727272727274,0.01258579373169404,0.1833333333333333,0.06573421981221797,0.44444444444444436,0.027997368371053852,0.6950226244343891,0.02480217772681081,0.8005347593582888,0.014977505552655984
DMPNN,Fragment,0.9561574575659083,0.006670421356156186,0.9561574575659083,0.006670421356156186,0.8962536023054755,0.016414992786392954,0.8272727272727274,0.010387355455153109,0.3333333333333333,0.05555555555555556,0.46349206349206346,0.04895252277765242,0.7013574660633484,0.021542770523507875,0.8021390374331551,0.012977022975544551
