model,feat,train_BA,train_BA_std,val_BA,val_BA_std,test_BA,test_BA_std,ext_BA,ext_BA_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,PharmacoErGFP,0.9097999175553252,0.0186556385259933,0.9097999175553252,0.0186556385259933,0.8433453762605317,0.0338274455767555,0.7959818957376836,0.0197396240038134,0.6222222222222222,0.0682929219058732,0.7649473684210526,0.041962623888788,0.7342629107981221,0.024846015916929,0.7898961937716262,0.0199540639094988
log,AtomPairFP,0.9819961433716848,0.0016596973676768,0.9819961433716848,0.0016596973676768,0.8568124692561657,0.0303020298520437,0.7939500504705155,0.0259509265406724,0.6222222222222221,0.0248451997499976,0.7373684210526316,0.0530666230505999,0.7450798122065728,0.0355606515942901,0.7829065743944637,0.023972522114895
xgb,AtomPairFP,0.9844222641298934,0.0025534857919331,0.9844222641298934,0.0025534857919331,0.8534450166635379,0.0267735153901346,0.7882419979811794,0.0245323970036703,0.2888888888888888,0.0993807989999906,0.6107368421052632,0.0440403994839238,0.7452112676056337,0.0360552529423971,0.7853287197231834,0.0230650805469585
DMPNN,AtomPairFP,0.9848922607224864,0.0051213599258004,0.9848922607224864,0.0051213599258004,0.850270398393566,0.0296532457488084,0.7864934388329915,0.0185010678825154,0.4,0.0234242789642102,0.7427368421052633,0.0828266405533227,0.7490610328638498,0.0165053876134084,0.7853979238754325,0.0193158253676729
fcnn,AtomPairFP,0.9426438801611648,0.0118355193610804,0.9426438801611648,0.0118355193610804,0.8442166922047111,0.0317441666918192,0.7856826544234965,0.0208337058587288,0.5333333333333333,0.0745355992499929,0.738421052631579,0.0303534123269394,0.7692769953051644,0.0264766381036459,0.7877508650519032,0.0214010414162494
DMPNN,Topology,0.9211249234531824,0.0233015687971929,0.9211249234531824,0.0233015687971929,0.8428535517504686,0.0394840074118471,0.7850021165054867,0.023844691132935,0.5555555555555556,0.1335389361282959,0.730842105263158,0.0265036568961798,0.7609577464788732,0.0208127972285411,0.7841522491349482,0.0234017387875938
DMPNN,Kappa,0.9171833356658412,0.0190312435029028,0.9171833356658412,0.0190312435029028,0.8457045430974051,0.035084486099839,0.7753378268372896,0.0290568541361619,0.5111111111111111,0.0573775310549246,0.712,0.0280425302463274,0.7430328638497652,0.0277661259699112,0.7716262975778546,0.0287500476824345
DMPNN,Property,0.9240860071191188,0.0204166360897934,0.9240860071191188,0.0204166360897934,0.8477360692439163,0.0323958475292489,0.7744065644231709,0.0448900896433631,0.5,0.152707615763617,0.7055789473684211,0.0996284881032323,0.7424319248826291,0.0559297009253835,0.7758477508650519,0.0477878487627897
svm,AtomPairFP,0.9803670424582784,0.0033917563236977,0.9803670424582784,0.0033917563236977,0.7883532651832438,0.0244462440451836,0.7611181661294,0.0140202205551117,0.5333333333333333,0.1739163982499836,0.7281052631578947,0.0683234121122421,0.7096431924882629,0.0219892691924949,0.7566782006920415,0.0161399306053466
log,MAP4,0.995978016918578,0.000701673020509,0.995978016918578,0.000701673020509,0.8500584669445411,0.0197673734834475,0.7558008531145192,0.014943201558987,0.4444444444444445,0.0680413817439771,0.7221052631578948,0.0409073001091011,0.6817840375586854,0.0173552778447707,0.7444290657439446,0.01639240260414
DMPNN,InfoContent,0.9223514675240364,0.0138329670834791,0.9223514675240364,0.0138329670834791,0.8310723751370498,0.0329556165642026,0.7507863631923415,0.0614989103021909,0.5666666666666667,0.2781479015632383,0.7005263157894737,0.1205277203115385,0.7278215962441315,0.0688099251728825,0.7525951557093425,0.0604175986124449
log,Autocorr,0.8872550231801535,0.006605436391924,0.8872550231801535,0.006605436391924,0.8357349832050908,0.0311887851746819,0.7458988635993617,0.029236127684167,0.5666666666666667,0.1541604102834623,0.5956842105263158,0.0995727715899546,0.6428638497652581,0.0343094370796675,0.7258823529411764,0.0298886636678508
log,PharmacoErGFP,0.8543321915012468,0.0051204376064143,0.8543321915012468,0.0051204376064143,0.8175222736011735,0.034275482027226,0.7448047930708868,0.0229775452949262,0.2777777777777778,0.0785674201318386,0.603578947368421,0.0496154184774503,0.6450046948356808,0.0325990099978856,0.7277508650519031,0.0230985381003805
DMPNN,MAP4,0.9916784208737978,0.0062233187317121,0.9916784208737978,0.0062233187317121,0.8496963295650358,0.0363036778630622,0.7419100647976296,0.0243866088107374,0.2888888888888888,0.0573775310549246,0.634,0.0557238939286428,0.6690328638497652,0.0315058665988404,0.734878892733564,0.023974575314648
DMPNN,Matrix,0.8993728531553448,0.0309140550549737,0.8993728531553448,0.0309140550549737,0.8331904579241494,0.0387011443403699,0.7397056429292437,0.0538225354297745,0.4444444444444445,0.1434438276373117,0.6463157894736842,0.0964440075844711,0.7064131455399061,0.0418150389351535,0.7383391003460208,0.0505850321733523
log,MOE,0.8193697128806743,0.0055522084406581,0.8193697128806743,0.0055522084406581,0.8093868667749258,0.0408990974538042,0.7377845071798379,0.0239792736923337,0.4555555555555555,0.0724355822800294,0.5035789473684211,0.0580254505246383,0.6353521126760564,0.0269990199526122,0.7290657439446366,0.023551028132852
log,Charge,0.7439850979129463,0.0076605758471101,0.7439850979129463,0.0076605758471101,0.7491154824079779,0.0212217474952395,0.7341864478525609,0.0185823314893186,0.311111111111111,0.0496903994999953,0.6554736842105263,0.0278813274621677,0.6257652582159624,0.0181968160837419,0.7161937716262976,0.0147605335004383
log,Connectivity,0.7772247713313035,0.0046662796470144,0.7772247713313035,0.0046662796470144,0.7817732890714472,0.0338470827629738,0.7323271791866107,0.0104076479907843,0.2777777777777778,0.0,0.5192631578947369,0.0089442719099991,0.5714178403755868,0.0167863322900267,0.7047058823529412,0.0097120329123427
DMPNN,Estate,0.942145081325469,0.0239481379684112,0.942145081325469,0.0239481379684112,0.8399051253543506,0.0186925193536142,0.7322034450196997,0.0180048554006102,0.3444444444444444,0.0936971158568408,0.5921052631578947,0.017292942498739,0.6723474178403755,0.0193574805314974,0.7298269896193771,0.0163513269189748
xgb,MorganFP,0.9558627168580532,0.0011857437911549,0.9558627168580532,0.0011857437911549,0.8333143248139863,0.02799962276612,0.7308749308065513,0.0241340375354697,0.4333333333333333,0.0464811125852264,0.59,0.0729170590940501,0.6894460093896713,0.0333802552775527,0.7289273356401385,0.0255664622841356
svm,MAP4,0.988689419523109,0.0025555405858205,0.988689419523109,0.0025555405858205,0.8097885598204287,0.0344350073823842,0.7308293445345316,0.0352725667841308,0.4555555555555555,0.0724355822800294,0.7115789473684211,0.0360958250668636,0.6684413145539906,0.0251728447123629,0.7250519031141869,0.0333767472300739
xgb,Autocorr,0.989717491532208,0.0025664093663112,0.989717491532208,0.0025664093663112,0.8273400055636492,0.0329254594281702,0.7281397544853635,0.0385905931773551,0.211111111111111,0.1438019900616087,0.5186315789473684,0.0738987478293639,0.6626291079812207,0.0491138494146461,0.7245674740484429,0.0388615360844323
DMPNN,Autocorr,0.955899399998037,0.0232390172895076,0.955899399998037,0.0232390172895076,0.8316130955380263,0.0401004498743742,0.7259483572661262,0.0359075253850342,0.5333333333333333,0.1021040648302979,0.5359999999999999,0.0646629635973178,0.6630234741784038,0.0361102638605111,0.7154325259515572,0.0319028723300155
xgb,MAP4,0.989289781747105,0.0019129751654918,0.989289781747105,0.0019129751654918,0.8374300811337626,0.0409542199904615,0.7227247566018691,0.0267183503112498,0.2777777777777778,0.0785674201318386,0.6026315789473684,0.0430116263352131,0.6637464788732395,0.0273555550166046,0.71840830449827,0.0244519433737226
DMPNN,Charge,0.9241291942066334,0.0206928332490823,0.9241291942066334,0.0206928332490823,0.8371106146752894,0.0343474766646021,0.7182312526456318,0.0247793769390211,0.3999999999999999,0.0438228132081453,0.5794736842105264,0.0371548960902596,0.6537183098591549,0.0137367394113074,0.7141176470588235,0.022980688089196
DMPNN,Path,0.8952959975238018,0.0223017564641429,0.8952959975238018,0.0223017564641429,0.819926741355669,0.0312550264856441,0.7162384813259093,0.0448632829906513,0.4888888888888888,0.2172278266461508,0.6652631578947369,0.0912327933999975,0.6963098591549295,0.0535962061136181,0.7188235294117646,0.0439739009565529
DMPNN,Connectivity,0.909193112067648,0.0217791210675132,0.909193112067648,0.0217791210675132,0.8358703833168126,0.0472623377213566,0.7142229168701768,0.0504420235743283,0.3888888888888889,0.1571348402636772,0.6047368421052631,0.080435104862136,0.6856338028169013,0.0531930568704499,0.7141176470588235,0.0493733892077102
fcnn,PharmacoErGFP,0.8146081861555187,0.0056058599428959,0.8146081861555187,0.0056058599428959,0.7878193239735689,0.0262663971251542,0.711644036338771,0.0498026543703366,0.1777777777777777,0.0912870929175277,0.5501052631578947,0.10829284704089,0.6392206572769953,0.0607092050141759,0.7083737024221454,0.0510327250742874
DMPNN,Constitution,0.9239203791273228,0.0404917611119741,0.9239203791273228,0.0404917611119741,0.8348184945088681,0.0269665043169166,0.702155579434079,0.0417520320668654,0.3333333333333333,0.1335389361282959,0.5130526315789474,0.069966707115939,0.640525821596244,0.0483318672991917,0.6997923875432526,0.040897903996608
rf,AtomPairFP,0.9934594897972324,0.0009127243599971,0.9934594897972324,0.0009127243599971,0.8515056429088205,0.0423581802676899,0.6974862427143369,0.0129315770369763,0.0555555555555554,0.0,0.5489473684210526,0.0327628936789177,0.6275023474178404,0.015003008360628,0.691280276816609,0.012479314429647
rf,PharmacoErGFP,0.9186832265898108,0.0020027339462712,0.9186832265898108,0.0020027339462712,0.8323593346637566,0.0258341918115578,0.6973494838982776,0.053633068600939,0.2666666666666666,0.1817269692644014,0.5435789473684209,0.1223564793267647,0.6234366197183099,0.0649984562301733,0.6910726643598617,0.0555098622902681
xgb,TorsionFP,0.9381335794517892,0.0025476323894426,0.9381335794517892,0.0025476323894426,0.8391255021565713,0.0364461004083167,0.6951222688938816,0.0315805052189515,0.1777777777777777,0.1266861583443486,0.5323157894736841,0.0716733124106271,0.6354178403755869,0.0390007434690586,0.6900346020761245,0.0318483869594471
log,Estate,0.8209775983262032,0.0086223218100878,0.8209775983262032,0.0086223218100878,0.8052587588709965,0.0279752506016392,0.693507212399466,0.0111168654241343,0.4333333333333333,0.1541604102834623,0.4970526315789474,0.0259676978117023,0.5998967136150235,0.0204486207589449,0.6844290657439446,0.0132891794945823
fcnn,Autocorr,0.8784283170440167,0.0514218421358646,0.8784283170440167,0.0514218421358646,0.7995485302455577,0.0603082083857441,0.6892155905050308,0.0536804696981448,0.5,0.1039349274103873,0.4873684210526315,0.0828491938383687,0.6233708920187794,0.0540868849731552,0.6769550173010381,0.0534109693633055
xgb,Topology,0.9547863176071396,0.0047815402388684,0.9547863176071396,0.0047815402388684,0.7697271976175993,0.0175331333902196,0.6891830288821594,0.0303851436215344,0.3333333333333333,0.1360827634879543,0.5697894736842105,0.0640102571420439,0.6071455399061033,0.0313102319095697,0.6786851211072664,0.0297443036974693
rf,Autocorr,0.9939395315781446,0.0008195211415293,0.9939395315781446,0.0008195211415293,0.7706725189176561,0.0327681429641242,0.688004298134219,0.0214752592342833,0.7,0.0633430791721742,0.6802105263157895,0.037174440926149,0.670206572769953,0.0228687561615353,0.6880968858131488,0.0203941008535469
xgb,MOE,0.9885356865605436,0.0017504033189659,0.9885356865605436,0.0017504033189659,0.8381111652546254,0.0336023012564702,0.682452541434665,0.0239690720761395,0.2888888888888888,0.0993807989999906,0.5466315789473685,0.0558770415046557,0.640281690140845,0.0301155869479964,0.6813840830449827,0.0231541932545665
rf,MorganFP,0.9941704577663047,0.0007340551143256,0.9941704577663047,0.0007340551143256,0.8280420585105798,0.0405963575013564,0.6820878512585067,0.0175903540640233,0.0888888888888888,0.074535599249993,0.4952631578947368,0.0248792095785231,0.645906103286385,0.0164751075777176,0.6804152249134947,0.016240137096
DMPNN,MACCSFP,0.9467403760004174,0.0238337762106863,0.9467403760004174,0.0238337762106863,0.8332952273014088,0.0421370556082375,0.6799452964735762,0.0516167829897684,0.1666666666666666,0.0979907892986885,0.4741052631578947,0.078792362449826,0.6056338028169014,0.059389611567781,0.6730795847750866,0.0526792666037986
DMPNN,MOE,0.934466187434322,0.0307083233077895,0.934466187434322,0.0307083233077895,0.8529227802081769,0.0297960484068839,0.6798704047409723,0.0159193667284771,0.2222222222222222,0.0,0.4817894736842104,0.0311325169291151,0.638281690140845,0.0189417494876615,0.6786851211072664,0.0167471506489648
xgb,PharmacoErGFP,0.880569972434819,0.0034747591331204,0.880569972434819,0.0034747591331204,0.8232458358135739,0.0301288417071716,0.6790075217348833,0.0201071646479395,0.4111111111111111,0.0842541716005727,0.5345263157894736,0.0673412774264742,0.602018779342723,0.0239703662186339,0.67280276816609,0.0199938928188306
xgb,PubChemFP,0.9482660373688662,0.0057669584519867,0.9482660373688662,0.0057669584519867,0.8342922735476603,0.0312575425059127,0.6783660577643189,0.010574061782219,0.2222222222222222,0.0,0.4778947368421052,0.0316621710372527,0.6111737089201877,0.0221823409463978,0.6744636678200692,0.0122395520938043
xgb,MACCSFP,0.9350685293885798,0.0035469595033091,0.9350685293885798,0.0035469595033091,0.8250871218737826,0.0255617424926642,0.6780176483995962,0.0161674007364665,0.311111111111111,0.0496903994999953,0.554,0.0488774259764474,0.652075117370892,0.0152764571353566,0.6783391003460209,0.0163485197718222
log,MorganFP,0.963578882415249,0.0035711034402288,0.963578882415249,0.0035711034402288,0.8495415619541811,0.0331810117993599,0.6761160496239133,0.0166919038101234,0.1777777777777777,0.1204415743815489,0.4986315789473684,0.0526915447863009,0.6266666666666667,0.0197243730897105,0.6694809688581315,0.0189355889977809
DMPNN,RDkitFP,0.9781847929158056,0.0100042080793609,0.9781847929158056,0.0100042080793609,0.859622025169337,0.0349634646257176,0.6721337631467552,0.0082999811603264,0.0555555555555554,0.0,0.4369473684210526,0.0196315711082874,0.5909483568075118,0.0225691884354169,0.6618685121107266,0.0111454738042372
xgb,Estate,0.9487264235670744,0.0055017919976319,0.9487264235670744,0.0055017919976319,0.8144061558105975,0.016673820995413,0.6706522093061118,0.0054954479643711,0.3222222222222222,0.1490711984999859,0.4483157894736842,0.0354304750117294,0.6068075117370892,0.0122193414617744,0.6659515570934256,0.0049518460401379
svm,MOE,0.7493758870732903,0.0094725047034115,0.7493758870732903,0.0094725047034115,0.7310446571212418,0.0300151589684981,0.6653153593175084,0.0193070071539845,0.2888888888888888,0.0608580619450184,0.5862105263157895,0.0312402893499781,0.6317370892018779,0.0205066262920204,0.6680276816608997,0.0197119496934338
