model,feat,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,Fragment,584.2,10.281050529979892,584.2,10.281050529979892,73.8,7.463243262818115,151.6,9.289779329994875,0.0,0.0,21.0,0.0,106.4,0.8944271909999153,140.2,7.563068160475616
log,PubChemFP,289.8,9.602083107326244,289.8,9.602083107326244,44.2,6.340346993658944,120.2,4.266145801540307,3.0,0.0,16.8,2.489979919597746,106.2,3.7682887362833535,119.6,4.098780306383838
log,Connectivity,459.2,11.882760622010354,459.2,11.882760622010354,56.8,6.797058187186573,120.0,5.244044240850757,3.0,0.0,16.8,0.4472135954999576,102.8,4.816637831516919,119.0,5.244044240850757
log,MACCSFP,406.6,16.86119805944998,406.6,16.86119805944998,53.2,10.256705123966467,118.4,2.70185121722126,2.0,0.0,17.0,0.7071067811865476,92.0,1.2247448713915898,115.4,2.607680962081058
log,Path,598.8,10.034938963441675,598.8,10.034938963441675,68.4,6.618156843109717,116.6,11.696153213770756,3.0,0.0,11.6,1.3416407864998738,94.4,9.37016542009798,113.0,11.532562594670797
log,Kappa,632.2,13.736811857195974,632.2,13.736811857195974,76.2,8.5848704125339,113.8,5.263078946776306,3.0,0.0,14.2,0.447213595499958,101.8,5.263078946776306,111.8,5.263078946776306
log,Constitution,497.8,11.606032913963324,497.8,11.606032913963324,62.6,9.423375191511797,111.6,8.677557259966656,2.4,0.5477225575051662,16.8,3.271085446759225,92.8,6.180614856144979,108.0,8.336666000266533
log,Property,557.0,13.076696830622009,557.0,13.076696830622009,68.6,7.602631123499286,109.2,7.049822692805826,3.0,0.0,15.0,1.414213562373095,83.8,7.39594483484024,102.4,7.402702209328697
log,Topology,550.8,8.642916174532749,550.8,8.642916174532749,68.6,9.181503144910424,106.8,7.328028384224504,2.0,0.0,13.4,0.8944271909999157,85.4,6.877499545619758,102.4,6.985699678629191
log,EstateFP,565.6,20.77979788159645,565.6,20.77979788159645,68.4,5.412947441089743,105.2,1.7888543819998324,1.2,0.4472135954999579,15.4,1.949358868961793,76.0,2.1213203435596424,100.2,1.7888543819998324
log,Charge,492.4,14.92648652563624,492.4,14.92648652563624,56.8,5.805170109479998,98.4,7.536577472566708,3.0,0.0,9.2,0.4472135954999581,77.2,7.726577508832742,94.0,7.84219357067906
log,Autocorr,242.2,9.70566844684074,242.2,9.70566844684074,35.4,3.2093613071762417,95.0,6.892024376045112,1.2,0.8366600265340756,11.4,2.5099800796022267,67.0,9.246621004453464,88.4,8.561541917201597
