model,feat,train_MCC,train_MCC_std,val_MCC,val_MCC_std,test_MCC,test_MCC_std,ext_MCC,ext_MCC_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Topology,0.859028597331533,0.0365477554006483,0.859028597331533,0.0365477554006483,0.6961185608128172,0.0718587688762871,0.6467910096396933,0.0135635538786071,0.1101937823263442,0.2417970570046961,0.464865594329746,0.0506708209336786,0.5830321873770867,0.0167564062334638,0.6395901448060096,0.0123381144544804
DMPNN,Property,0.8690753765746054,0.0315943124599782,0.8690753765746054,0.0315943124599782,0.7081288313239333,0.0419081463818127,0.6260179933420883,0.0745820292666141,0.0027042207632515,0.2809374219840926,0.4074875231215829,0.1899161819718983,0.5408845847350331,0.1057189007011105,0.6234973898505751,0.0824769813524351
fcnn,AtomPairFP,0.9070801616887596,0.0195628123489874,0.9070801616887596,0.0195628123489874,0.7222184341966306,0.0479616281071856,0.6220391721570877,0.0404329596138254,0.0837615544398937,0.1641471541378393,0.4724735582470895,0.0623345835806526,0.5608632524295751,0.056982459931357,0.6183696918136425,0.0425615720128336
DMPNN,Kappa,0.854239943120637,0.0303028927578962,0.854239943120637,0.0303028927578962,0.7053996619571989,0.0608544686311775,0.6048705830644829,0.0445535800592021,0.0321217764904615,0.1256374268068948,0.4211903716196284,0.0520355929498608,0.5196342335186687,0.0428636294410228,0.5928152713451705,0.0436194140761371
DMPNN,InfoContent,0.8770637442462729,0.0174257472786829,0.8770637442462729,0.0174257472786829,0.6920051174860203,0.0476720162448676,0.5988342063873435,0.0887736988970181,0.1441024507952904,0.5516724118685522,0.4058996154740532,0.2255096184988608,0.5284502878239102,0.1158144276785844,0.5944855873788715,0.0902967669890643
DMPNN,AtomPairFP,0.9685940952665956,0.0092251556939244,0.9685940952665956,0.0092251556939244,0.7161238697101098,0.0389807744275783,0.5840940407435639,0.0385077910371632,-0.2413746429888684,0.0354686264486061,0.4845710544047351,0.1613983160370259,0.5039345770497439,0.0479252088256223,0.5816087314882556,0.0426500504922284
xgb,AtomPairFP,0.9754000243754876,0.0034473342273154,0.9754000243754876,0.0034473342273154,0.7329867440033733,0.0368462946267562,0.5804328580258986,0.0624417611651912,-0.3799370295752136,0.1739945477917046,0.2171799754433275,0.0864108985654036,0.4896637004949546,0.0894045325298472,0.5748773474734586,0.0662983775828577
DMPNN,Path,0.8351665313278691,0.0269824575773656,0.8351665313278691,0.0269824575773656,0.6809839382507203,0.046691103001627,0.5622982938121673,0.0759104885535642,-0.0330391052752284,0.400619432038083,0.3530820458167205,0.1804991670359275,0.4924038158243224,0.0955892981329476,0.5619000558145523,0.0729843917907663
DMPNN,Connectivity,0.8517247791358755,0.028506157548994,0.8517247791358755,0.028506157548994,0.69519960165875,0.07006505185544,0.5614213493719058,0.0577412297797504,-0.1928576037018292,0.3118513940038669,0.2449234154980813,0.1670381747980056,0.4791745453476833,0.0770557527078946,0.5547988638551639,0.0596016065542499
DMPNN,PharmacoErGFP,0.8385846757901543,0.0268751382357251,0.8385846757901543,0.0268751382357251,0.7084813649903875,0.0440458039074384,0.5540808879329445,0.0294434660691544,0.2231381248601041,0.1203293938526555,0.5231561933085398,0.0751864538818982,0.448774412144159,0.0453427909350662,0.5448388518660504,0.032382613269368
log,AtomPairFP,0.9306059303943112,0.0039414298472787,0.9306059303943112,0.0039414298472787,0.6890875439301303,0.045577073606327,0.5539170815153007,0.0535873250214301,0.3110057053711476,0.1180796294105317,0.4764359304054147,0.1098759109933825,0.4730328516803794,0.0765565918183043,0.5375768918167017,0.0524938377033748
DMPNN,Matrix,0.8322745831829577,0.035016497880317,0.8322745831829577,0.035016497880317,0.6900465707420855,0.0510446541405945,0.5519720165480472,0.0532270428005327,-0.0979613511076539,0.2918946410020724,0.2987748199977258,0.1925047375889085,0.4625820476067331,0.0551810108132126,0.5428231689950178,0.0495996052871732
rf,Autocorr,0.9811989985901356,0.0035000297644762,0.9811989985901356,0.0035000297644762,0.6149093959252583,0.0589441382922523,0.5387649821606617,0.025115664978592,0.3791957680964974,0.0869758536820507,0.421280152683935,0.0657054025488602,0.4789650872827566,0.0291049558671716,0.5377277957244351,0.0251569813767963
xgb,MorganFP,0.9288855713476794,0.0006065261969564,0.9288855713476794,0.0006065261969564,0.6963866718385734,0.0512320006646795,0.5173765996261869,0.0500164465088499,-0.1477240003433088,0.1105811805540109,0.2004781545431836,0.1572408717431119,0.4107714672807709,0.0692011568214862,0.5078230269576643,0.0537642642898208
svm,AtomPairFP,0.9709281194441072,0.0052766965180771,0.9709281194441072,0.0052766965180771,0.6314449067414497,0.0324790716775997,0.5117098416631526,0.0350833663182263,0.0684640247077248,0.3440687008337859,0.4590827715999878,0.1361339846187611,0.4122300793175125,0.0495219509057554,0.5034778568519986,0.0404390147566318
DMPNN,Charge,0.8756178579577224,0.0312988985891003,0.8756178579577224,0.0312988985891003,0.6979041785000927,0.0487994265997725,0.5056026560979401,0.0252137772436339,-0.1931282447167636,0.0783393655915507,0.1871004539597338,0.0662039198364736,0.3564741333049001,0.0538835827727892,0.4914962896015845,0.0276603682295614
svm,MOE,0.5628626987105889,0.0138749831376959,0.5628626987105889,0.0138749831376959,0.5279048344660755,0.0540267953530857,0.4928715085596901,0.0351008438591136,-0.3978842353529582,0.1439335645776376,0.2087831294668773,0.0576068495770824,0.3909735174498968,0.0386759421108346,0.4896288794118463,0.0357988717947524
DMPNN,Estate,0.906833506078782,0.0288677049437945,0.906833506078782,0.0288677049437945,0.7073139373016469,0.0272150370738006,0.4913534305931505,0.0264839047288837,-0.2867731242418471,0.1853469470505695,0.2001044980785282,0.0445774726287989,0.3558112627122037,0.0516810740696246,0.4818186933556195,0.0288584552472747
xgb,Autocorr,0.981799853782702,0.0030004982705711,0.981799853782702,0.0030004982705711,0.6894357637036983,0.0516050955902083,0.4876435543615708,0.076027846570099,-0.5124394025591521,0.2628912716990077,0.0364493267455204,0.1494820081377594,0.3408180558055909,0.1025384784172723,0.4769339457689844,0.0802202441859712
rf,MorganFP,0.982222458390307,0.0026430630459933,0.982222458390307,0.0026430630459933,0.6976909059700176,0.0689136493148046,0.4870939311167158,0.0271779365894994,-0.7643083758532919,0.1166963741701341,-0.0227196616736659,0.0783588742354331,0.3842864353021228,0.0326412548367928,0.4808158259231122,0.027697425614947
log,MAP4,0.9819765220064324,0.0031376903278613,0.9819765220064324,0.0031376903278613,0.6925664943029445,0.0350296916019829,0.4856405019756374,0.0199385155436614,-0.1362977290489457,0.1403850214567712,0.4369706707186014,0.0791140476474202,0.35220212269895,0.0277425984314661,0.4674575801110987,0.0230515519565197
DMPNN,MAP4,0.9836991842020668,0.011784475006391,0.9836991842020668,0.011784475006391,0.7215689338002048,0.053272211538922,0.4734367829910059,0.0467321684896167,-0.3951800145897066,0.0798437221747107,0.2679764849991092,0.1068913415195452,0.329091480108755,0.0613620747347275,0.4599029996975913,0.0469388054705878
xgb,MAP4,0.9830554374450676,0.0028334122876307,0.9830554374450676,0.0028334122876307,0.70278585333474,0.0616789732607701,0.4725537733433487,0.0443334132920651,-0.4110764665006588,0.1085635591602398,0.2147509436383615,0.0805163142959332,0.3382423147538499,0.0528287201010862,0.4605792155576605,0.0438622192379962
rf,InfoContent,0.9710260938337768,0.0024995741222369,0.9710260938337768,0.0024995741222369,0.5115829753839576,0.028708465838013,0.4701360827296903,0.0199538701240962,-0.135401332389326,0.1716509579493992,0.1001424575107153,0.0803836418853492,0.4441771484041117,0.0213220440689296,0.4790996020282292,0.0156344674037053
DMPNN,Constitution,0.8802589392697626,0.0667917553712303,0.8802589392697626,0.0667917553712303,0.6957062175918247,0.0378223240743311,0.4682000941706493,0.0882942227304484,-0.3359936568054564,0.2563341596895708,0.0289775052467252,0.161797201893813,0.3190747826514283,0.1158451508169628,0.4566730748000706,0.0907119619363926
xgb,MOE,0.9817768566084673,0.0028069017537094,0.9817768566084673,0.0028069017537094,0.7022884404429205,0.0546063320587981,0.4650965458502201,0.0387970968278265,-0.4246601389441305,0.2488481203511198,0.1078783965195363,0.1310013935897175,0.3482116717613773,0.0577920894041838,0.4569429380802559,0.0390372924010475
DMPNN,MOE,0.8902516674188565,0.0501184842453418,0.8902516674188565,0.0501184842453418,0.7372630450205822,0.0489855248492385,0.4613005770216764,0.0225626404326585,-0.5555555555555556,0.0,-0.0655138156641664,0.1066112200285663,0.3446272319255208,0.033573718089231,0.4527823953058263,0.0198932514232874
rf,Connectivity,0.9824235346967756,0.0027671118573899,0.9824235346967756,0.0027671118573899,0.615223041169606,0.0625895701370777,0.453891005385634,0.0183730994413436,-0.1717435806065893,0.1933199482540774,-0.0099464806774361,0.0631449866701547,0.3533338857394322,0.0162470726519106,0.446885366235076,0.0182989434591673
svm,MAP4,0.9830548341754672,0.0028355235181334,0.9830548341754672,0.0028355235181334,0.6566220107489771,0.0552528354954612,0.442619064957277,0.0439820536097004,-0.1014821978578062,0.1499341180351279,0.4178005668549993,0.0699087604083865,0.328946975033264,0.0400003023700093,0.4336003869633161,0.0444148092965411
rf,MACCSFP,0.9500502628679433,0.0049822158034946,0.9500502628679433,0.0049822158034946,0.6557996819575252,0.0532414416634622,0.4366580074723137,0.0463859479953367,0.0348155311911395,0.0778498944161522,-0.0247448117623143,0.030054912410819,0.3674796337357534,0.0424906584776483,0.4289049462090233,0.0462841120543431
DMPNN,,0.8478135033851298,0.0218496501929253,0.8478135033851298,0.0218496501929253,0.7025552337468646,0.0573347114008504,0.4359175009782313,0.0533057640913106,0.2545602763739161,0.0956574475253203,0.1842926100771225,0.0669662352912204,0.3204185310308866,0.0662427978847974,0.4203051489683519,0.0554576096423317
DMPNN,Autocorr,0.9273955461961788,0.0385682115567038,0.9273955461961788,0.0385682115567038,0.6816472468414732,0.0706603517139482,0.4338195470413545,0.0669751661393546,0.0810573336766422,0.2338854843081116,0.0721324109563185,0.1276809365349902,0.3218861381557349,0.0722579475527103,0.4160091787565096,0.0612890593639961
fcnn,PharmacoErGFP,0.7036291985999814,0.0089078455022685,0.7036291985999814,0.0089078455022685,0.64793544254826,0.0339109544169139,0.4326659522791725,0.0841469726833623,-0.5767549990808191,0.1680467430262321,0.0888809565310187,0.2312922549885807,0.2798992109374627,0.1128459728454624,0.4236959524659516,0.0873593145608411
rf,MOE,0.9824235346967756,0.0027671118573899,0.9824235346967756,0.0027671118573899,0.678555098204585,0.0611534045231311,0.4270135895165378,0.0168266810895656,-0.31767022290884,0.1329819436620515,-0.0649699493050052,0.0326561277652443,0.3264420629910782,0.0167452874650023,0.4194384415505254,0.0172177624973959
log,MOE,0.5681687645727772,0.0112846084092389,0.5681687645727772,0.0112846084092389,0.5520262115068625,0.0639946663503912,0.4249804548491608,0.034459032544888,-0.0780720058358826,0.1272418020560703,0.011072638679705,0.1184468642123367,0.2539655542549818,0.0493967391669206,0.4130297066884917,0.0356485124688281
xgb,TorsionFP,0.8980961027028502,0.003221547073164,0.8980961027028502,0.003221547073164,0.7072895784516922,0.0680380886077315,0.4249317298701438,0.0568810700428549,-0.6088047320305368,0.2502437286875714,0.0641627320388355,0.1471591905960665,0.2929680694576201,0.0764427460905374,0.4101937328675028,0.058092116477534
xgb,MACCSFP,0.894769942071482,0.0036250072487885,0.894769942071482,0.0036250072487885,0.673689425885034,0.0346659056759265,0.4217687442431188,0.0320511355090452,-0.345327128618759,0.1175212633583812,0.1177586907029092,0.1124360684636087,0.3605454871055681,0.0400639112220673,0.4194950747328633,0.0358532496505792
rf,AtomPairFP,0.9811753165741122,0.0037431738412394,0.9811753165741122,0.0037431738412394,0.7346890358524613,0.0623859376118515,0.4208894367303316,0.0288289181211662,-0.816496580927726,0.0,0.1124166227196698,0.0730029102409742,0.2646842128695216,0.0311910260682276,0.40786330105108,0.0282992192476239
xgb,PubChemFP,0.913979971936904,0.0073861811828444,0.913979971936904,0.0073861811828444,0.6915111857280578,0.0570391479148336,0.4149397246484171,0.0419329805843213,-0.5555555555555556,0.0,-0.0772450786104283,0.1014028313332799,0.257641924872275,0.0626935565070625,0.4024413209376559,0.0458641128507796
