model,feat,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
rf,MHFP6,1.0,0.0,1.0,0.0,0.9576555299539172,0.0340583496113298,1.0,0.0,,,,,,,1.0,0.0
rf,Autocorr,0.976055857971869,0.0058857843995345,0.976055857971869,0.0058857843995345,0.8113916581408075,0.0415780783731395,0.9076739747707492,0.038176285959412,1.0,0.0,0.9846153846153848,0.034401045807689,0.9134873000090392,0.0449186441216836,0.9256169724249244,0.0397077386433062
svm,Path,0.5774327122153209,0.0147172788426897,0.5774327122153209,0.0147172788426897,0.7138888888888889,0.1434527925963928,0.8962962962962964,0.1002055500627309,1.0,0.0,0.8333333333333334,0.2886751345948128,0.8333333333333334,0.2886751345948128,0.8962962962962964,0.1002055500627309
fcnn,Kappa,0.549313462353088,0.0212856833104526,0.549313462353088,0.0212856833104526,0.5989899044285907,0.1180878630895272,0.8852380952380953,0.0793682539047644,0.6666666666666667,0.3118047822311617,0.6666666666666667,0.3118047822311617,0.7961904761904762,0.1904285654747019,0.913992673992674,0.0788483979889351
svm,MOE,0.7527302838483659,0.0069284952371286,0.7527302838483659,0.0069284952371286,0.7330141186827495,0.0458459574991302,0.8772854451960622,0.0361461899926573,0.4933333333333333,0.1460593486680443,0.8053418803418804,0.0286690312351399,0.8389155097775788,0.0413951790187738,0.8772854451960622,0.0361461899926573
DMPNN,Connectivity,0.9315405897070976,0.0209075193785501,0.9315405897070976,0.0209075193785501,0.7982713846763803,0.0411185344341504,0.871225281547197,0.086185210381761,0.6742857142857143,0.2351264649556697,0.8323911382734911,0.1571859712592309,0.8547198114218364,0.0911481807473175,0.8725473294254833,0.0865156340138471
DMPNN,,0.9087183863733512,0.0300915833865017,0.9087183863733512,0.0300915833865017,0.8000823745338037,0.0445332784826634,0.8673304473304473,0.0657570706892982,1.0,0.0,0.8714285714285716,0.0832993127835042,0.8153968253968253,0.0784783800485624,0.862323758755543,0.0677648174177682
DMPNN,Path,0.9348281050207132,0.0158880863149656,0.9348281050207132,0.0158880863149656,0.8124358500286025,0.0323577817185325,0.8614287670777255,0.099039785958301,0.700952380952381,0.240063819515064,0.864009324009324,0.1163651056827522,0.8453532182103611,0.1061750922451745,0.8700955386865505,0.0987769703011493
fcnn,MHFP6,0.8970467596390483,0.0388647697616887,0.8970467596390483,0.0388647697616887,0.7547619047619047,0.0774450284156695,0.8333333333333334,,,,1.0,,0.75,,0.8333333333333334,
DMPNN,InfoContent,0.9496432215289918,0.0025245435988205,0.9496432215289918,0.0025245435988205,0.8044561351950478,0.027113452234078,0.8304807905566918,0.0845083495663852,0.7222222222222222,0.2485623960824076,0.845763440860215,0.0967775779987241,0.813419009453628,0.096705038587855,0.8298015847050723,0.0856375589228325
