model,feat,train_Precision,train_Precision_std,val_Precision,val_Precision_std,test_Precision,test_Precision_std,ext_Precision,ext_Precision_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,Connectivity,0.9233843050220784,0.0038487556985582,0.9233843050220784,0.0038487556985582,0.9237213688745984,0.0213545746975404,0.931957885408442,0.0036199117724122,0.0,0.0,0.4268421052631578,0.0129456567118409,0.793557302305252,0.017862272239344,0.9178746282012366,0.0033202604461567
log,Autocorr,0.9654216684158616,0.0034341121036678,0.9654216684158616,0.0034341121036678,0.9384705440034904,0.0190956809941408,0.9259010783094442,0.0186849017858827,0.3002380952380952,0.1047970720194742,0.52568194680249,0.1332036021304784,0.8171966763079839,0.0429973583250246,0.9077323246507986,0.0234393863760334
DMPNN,PharmacoErGFP,0.9576632144138018,0.0106230808058663,0.9576632144138018,0.0106230808058663,0.9269618268287676,0.0185168588587833,0.9256213706858796,0.0100273783125472,0.38,0.0688530372659096,0.6311931235908997,0.0537639551490549,0.8473144910883645,0.0212627036694427,0.9132336492736426,0.0116977581466584
log,AtomPairFP,0.9985695887094664,0.0007560607844109,0.9985695887094664,0.0007560607844109,0.941205817316624,0.0168413187935186,0.9240588606017232,0.0107485389071487,0.6,0.2236067977499789,0.6883422519509476,0.0772855615603551,0.8515742317343756,0.0190803543245904,0.9081642141431516,0.0109091526531444
log,Charge,0.9064324025999592,0.0039283406663925,0.9064324025999592,0.0039283406663925,0.9038889748203977,0.0124852635900298,0.9207353149192474,0.0121446384467302,0.0,0.0,0.5673818646232439,0.0421917777837651,0.8150651444548336,0.0184735157065848,0.9048219152323628,0.0125859782710762
log,PharmacoErGFP,0.9590558293107072,0.001389802398702,0.9590558293107072,0.001389802398702,0.9407671306729424,0.0212390575696549,0.9187117086930192,0.0085096260335264,0.0285714285714285,0.0638876564999939,0.5137908298597954,0.0490802766314549,0.8085080667267499,0.0229812788670661,0.9000696391200241,0.0092381219064028
xgb,AtomPairFP,0.9920901922058252,0.001380421101979,0.9920901922058252,0.001380421101979,0.9299688774915934,0.0146804806958489,0.9162885395864008,0.0100910940191537,0.04,0.0894427190999915,0.5015915457091927,0.0351874307786272,0.8399315871330562,0.0158131345944649,0.9024987748613024,0.0098534285280298
DMPNN,AtomPairFP,0.993626467976766,0.0028725047614106,0.993626467976766,0.0028725047614106,0.9301022964878628,0.017543343563584,0.9153685340718096,0.011186676477874,0.0,0.0,0.6820036410366246,0.0854943434822612,0.841278020609219,0.0155950386500221,0.9022592178183736,0.0133579060815962
fcnn,AtomPairFP,0.9715006797270396,0.0055628926253228,0.9715006797270396,0.0055628926253228,0.9247914064524394,0.0158311278288025,0.9102669872177568,0.0090499591970493,0.3399999999999999,0.1474788120375262,0.6048795962102413,0.0316606477988943,0.8427051445397218,0.0182429248503164,0.8973655778851919,0.0108078391528115
DMPNN,Topology,0.9629401305347728,0.0119202260017701,0.9629401305347728,0.0119202260017701,0.9273556629430454,0.0190771181870934,0.9083291200835026,0.0120050340538131,0.3157142857142857,0.1314837703270271,0.5801353716886452,0.0333555535785359,0.8281577395137205,0.0219665652205151,0.8931201019766327,0.0142936000101296
log,MAP4,1.0,0.0,1.0,0.0,0.933970401546478,0.0122783374147769,0.9076251427859336,0.0082721335777247,0.0,0.0,0.6173342985842986,0.0564380955616988,0.8054150636604944,0.0186448705302638,0.8889345066602281,0.0104658170138082
svm,AtomPairFP,0.9897277943227788,0.0017765258491406,0.9897277943227788,0.0017765258491406,0.8972525939015487,0.0126855009166499,0.9073462063079484,0.0066686951978207,0.3,0.273861278752583,0.6760089186176143,0.0883335920429332,0.8200869486992735,0.0146474193598519,0.8919999785432031,0.0086234331368202
log,MOE,0.9407497234044694,0.0021591793053296,0.9407497234044694,0.0021591793053296,0.9344712888480166,0.0264404773392294,0.9064597662580824,0.0133333595280775,0.2185714285714285,0.0475416036922678,0.4132053291536049,0.075614014923539,0.7912149735489394,0.0287865158312869,0.8909421685108715,0.0160300656492247
DMPNN,Kappa,0.9608346020591932,0.010060032540536,0.9608346020591932,0.010060032540536,0.9283711005905928,0.0189486162415912,0.9059839713338036,0.0127374781865643,0.29,0.1125462867742275,0.5777458597285505,0.0344668317399031,0.8227093197876417,0.0221840827691153,0.8894344289063143,0.0148661350639171
