model,feat,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,Kappa,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rf,MHFP6,1.0,0.0,1.0,0.0,0.9955329637159546,0.0040523423306985,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
fcnn,MHFP6,0.9940808781884276,0.0096331906186594,0.9940808781884276,0.0096331906186594,0.9860294117647058,0.0238829143660466,0.9994334277620396,0.0012668940382434,1.0,0.0,1.0,0.0,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
svm,Path,0.9838284650868095,0.0184061722670053,0.9838284650868095,0.0184061722670053,0.9888328119634991,0.0169574211302551,0.9977337110481588,0.0036935990964321,1.0,0.0,0.992,0.0178885438199983,0.996,0.0089442719099991,0.9972318339100346,0.0045115587579257
fcnn,Path,0.9697437819792316,0.0182550615463245,0.9697437819792316,0.0182550615463245,0.9694098433675268,0.0212303899429698,0.9954674220963172,0.0015516219759353,0.4666666666666666,0.1825741858350553,0.936,0.0219089023002065,0.9893333333333334,0.0036514837167009,0.9944636678200692,0.0018952337629936
fcnn,Kappa,0.9637493179344162,0.0038726993049476,0.9637493179344162,0.0038726993049476,0.967308372037004,0.0118985272676252,0.9954674220963172,0.003229958711329,0.7333333333333333,0.2788866755113585,0.968,0.033466401061363,0.9920000000000002,0.0073029674334021,0.9958477508650516,0.0037904675259873
svm,EstateFP,0.9847447231808524,0.0083777479280187,0.9847447231808524,0.0083777479280187,0.9866676262887302,0.0083996417884741,0.9943342776203966,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9930795847750864,0.0
svm,Topology,0.9538632359995756,0.008127038104955,0.9538632359995756,0.008127038104955,0.9506640282179148,0.0233612139227046,0.9926345609065156,0.002533788076487,0.3333333333333333,0.0,0.912,0.0178885438199983,0.9826666666666668,0.0059628479399995,0.9910034602076124,0.0030949037750862
fcnn,Topology,0.9680787190059066,0.012493298526209,0.9680787190059066,0.012493298526209,0.963000244885126,0.0227245901127616,0.9920679886685552,0.0083557400587833,0.4666666666666666,0.1825741858350553,0.904,0.0829457654133108,0.9813333333333332,0.0196638416050034,0.9903114186851212,0.0102061461617664
rf,Autocorr,0.9931584189223142,0.0017063447495289,0.9931584189223142,0.0017063447495289,0.9613515313418056,0.005834009920937,0.9898016997167138,0.005874345992444,1.0,0.0,0.992,0.0178885438199983,0.9826666666666668,0.0129957257930786,0.9903114186851212,0.0066558422358723
svm,Matrix,0.9582961123076824,0.0032336844937724,0.9582961123076824,0.0032336844937724,0.9612138286007026,0.0135672832972982,0.9898016997167138,0.0015516219759352,0.3333333333333333,0.0,0.9200000000000002,0.0,0.9786666666666668,0.0029814239699997,0.9875432525951556,0.0018952337629935
DMPNN,,0.9756918738487952,0.0094425621725385,0.9756918738487952,0.0094425621725385,0.9455215371395612,0.0178354692841649,0.9892351274787534,0.0070537674776139,1.0,0.0,0.968,0.0178885438199983,0.9773333333333334,0.0111554670204544,0.9868512110726644,0.0086158474726564
svm,MOE,0.9494159261961932,0.0024926657805279,0.9494159261961932,0.0024926657805279,0.9457494874026569,0.0070803394385686,0.9881019830028328,0.003693599096432,0.3333333333333333,0.0,0.904,0.0219089023002066,0.9733333333333334,0.0081649658092772,0.9854671280276815,0.0045115587579256
fcnn,MorganFP,0.9931586712348672,0.0012288516762414,0.9931586712348672,0.0012288516762414,0.9642782455353606,0.0077398923172351,0.9818696883852692,0.0051461479106472,0.6666666666666666,0.0,0.952,0.0178885438199982,0.9573333333333334,0.01211060141639,0.9778546712802768,0.0062857792818633
rf,InfoContent,0.988718904896622,0.0016164661934096,0.988718904896622,0.0016164661934096,0.9322025462468492,0.0090242234548625,0.9818696883852692,0.003229958711329,0.6666666666666666,0.0,0.96,0.0,0.9853333333333334,0.0055777335102271,0.9847750865051904,0.003945243685464
rf,TorsionFP,0.9911225217347353,0.0018909154483864,0.9911225217347353,0.0018909154483864,0.9591347557426771,0.0083155652033239,0.9813031161473088,0.0042962467105107,0.1333333333333333,0.1825741858350553,0.8960000000000001,0.0219089023002066,0.9613333333333334,0.0109544511501033,0.979930795847751,0.0056857012889809
rf,MAP4,0.9932497294059804,0.0013315560939824,0.9932497294059804,0.0013315560939824,0.966497398083902,0.0112888737240597,0.9807365439093484,0.0076013642294611,0.2666666666666666,0.1490711984999859,0.912,0.0178885438199983,0.96,0.0205480466765633,0.9792387543252594,0.010665076129704
DMPNN,Connectivity,0.9826218961265016,0.0059799319334382,0.9826218961265016,0.0059799319334382,0.9455113294041884,0.0190958363500463,0.9801699716713882,0.0193521260924638,0.4666666666666666,0.3583225665910466,0.92,0.0533333333333333,0.9600000000000002,0.0402461561694996,0.976470588235294,0.0235700849355382
svm,Property,0.9782625172634928,0.0058757099552752,0.9782625172634928,0.0058757099552752,0.9844197425532256,0.0091040857954647,0.979603399433428,0.003693599096432,0.2666666666666666,0.1490711984999859,0.912,0.0178885438199983,0.9520000000000002,0.0086922698736035,0.9750865051903114,0.0045115587579256
DMPNN,Path,0.9840989410746694,0.0044300563576837,0.9840989410746694,0.0044300563576837,0.9529703658282214,0.0144523915575746,0.979603399433428,0.0184462556329741,0.5333333333333333,0.2810913475705226,0.92,0.04618802153517,0.9559999999999998,0.0411201191332279,0.976470588235294,0.0226490199928646
rf,AvalonFP,0.992881151267032,0.0015113068615814,0.992881151267032,0.0015113068615814,0.9531156987747272,0.0096926154518818,0.9790368271954673,0.0015516219759352,1.0,0.0,1.0,0.0,0.96,0.0,0.9792387543252596,0.0
fcnn,Connectivity,0.958379072017062,0.0037438975941387,0.958379072017062,0.0037438975941387,0.949380387577483,0.0127383610109625,0.9784702549575072,0.0117827956618048,0.4,0.1490711984999859,0.92,0.0282842712474618,0.9506666666666664,0.0247655674946756,0.9737024221453288,0.0143921344934847
svm,Fragment,0.9769749704676556,0.002421813277964,0.9769749704676556,0.002421813277964,0.9822255587936984,0.0098175912904615,0.9779036827195468,0.014361237230183,1.0,0.0,0.984,0.0357770876399966,0.9613333333333334,0.0259914515861572,0.9771626297577856,0.0161558720137422
fcnn,MAP4,0.98973137941804,0.0038720850822827,0.98973137941804,0.0038720850822827,0.9531063771307264,0.0144012571195412,0.9773371104815864,0.0020031353574689,0.3333333333333333,0.0,0.9200000000000002,0.0,0.9466666666666668,0.0047140452079103,0.972318339100346,0.0024467362670815
xgb,Constitution,0.9886238515505508,0.0032047504949956,0.9886238515505508,0.0032047504949956,0.9330235273547668,0.0185634719008994,0.9773371104815864,0.0028328611898015,0.2,0.1825741858350553,0.8880000000000001,0.0438178046004133,0.9506666666666668,0.0076011695006609,0.97439446366782,0.0039452436854642
rf,MOE,0.9938049435054668,0.0014813191810386,0.9938049435054668,0.0014813191810386,0.9560784683705869,0.0161349869988064,0.975070821529745,0.0012668940382434,0.6,0.1490711984999859,0.92,0.0282842712474618,0.9466666666666668,0.0047140452079103,0.972318339100346,0.0024467362670815
rf,Connectivity,0.9938049435054668,0.0014813191810386,0.9938049435054668,0.0014813191810386,0.9514632228334576,0.0184633028613261,0.9745042492917848,0.0020031353574689,0.7333333333333333,0.1490711984999859,0.968,0.0178885438199983,0.956,0.0101105005920688,0.9716262975778548,0.0028950173928515
rf,MorganFP,0.993620271298634,0.0012791316385654,0.993620271298634,0.0012791316385654,0.957568965506008,0.0093787007178818,0.973371104815864,0.0086390655421965,0.0666666666666666,0.1490711984999859,0.8800000000000001,0.0282842712474619,0.9453333333333334,0.0172562388073931,0.970242214532872,0.0105522150048282
rf,Estate,0.982895165217489,0.0017022662652392,0.982895165217489,0.0017022662652392,0.9456932171101636,0.0153061649800644,0.973371104815864,0.0055222630848775,0.6666666666666666,0.0,0.9280000000000002,0.0178885438199982,0.944,0.0111554670204543,0.9709342560553632,0.0057900347857029
rf,Constitution,0.9693904941095592,0.0012660754651409,0.9693904941095592,0.0012660754651409,0.9345192777461784,0.0187838334885218,0.973371104815864,0.0025337880764869,0.1333333333333333,0.1825741858350553,0.8880000000000001,0.033466401061363,0.944,0.0089442719099992,0.9709342560553632,0.0046423556626293
rf,MACCSFP,0.9836305131126354,0.002022945361469,0.9836305131126354,0.002022945361469,0.943468118581364,0.0182346980005585,0.9728045325779038,0.005874345992444,1.0,0.0,0.96,0.0,0.9586666666666668,0.0144529889257859,0.9695501730103808,0.0066558422358724
rf,Path,0.9871455025677548,0.0021584198844749,0.9871455025677548,0.0021584198844749,0.9351321367469818,0.0235034685935193,0.9728045325779038,0.0071104251546805,0.4,0.1490711984999859,0.9280000000000002,0.0178885438199982,0.9533333333333334,0.0156347191994114,0.9695501730103808,0.0102061461617665
fcnn,Matrix,0.945901869929516,0.0061195842504015,0.945901869929516,0.0061195842504015,0.94719748379835,0.0100344742135197,0.9722379603399434,0.0042018121739919,0.3333333333333333,0.0,0.8800000000000001,0.0,0.948,0.0098882646494608,0.9695501730103808,0.0051323172921077
fcnn,TorsionFP,0.982231986681258,0.0073242413745723,0.982231986681258,0.0073242413745723,0.9576306824215944,0.0073431008558226,0.971671388101983,0.0082591386612539,0.6666666666666666,0.0,0.96,0.0,0.9333333333333332,0.019436506316151,0.9653979238754328,0.0100881520672063
rf,RDkitFP,0.9938049435054668,0.0014813191810386,0.9938049435054668,0.0014813191810386,0.95460550318588,0.0126782074161263,0.9705382436260624,0.0110807972892961,0.8,0.1825741858350553,0.976,0.0219089023002066,0.936,0.0252102272015853,0.9667820069204152,0.0130848930112035
DMPNN,InfoContent,0.9872369755142284,0.0010755159103794,0.9872369755142284,0.0010755159103794,0.9493525424818916,0.0104192335010311,0.9705382436260624,0.0240820972680567,0.5333333333333333,0.2810913475705226,0.8800000000000001,0.0596284793999943,0.9373333333333334,0.0557950393830229,0.9640138408304498,0.0294151568706714
rf,PubChemFP,0.9856690646032228,0.0021994581515302,0.9856690646032228,0.0021994581515302,0.9427188615438484,0.0155937067851093,0.9694050991501416,0.022251939814907,0.5333333333333333,0.1825741858350553,0.944,0.0219089023002066,0.9386666666666666,0.0506403440395545,0.9653979238754324,0.027135617891623
DMPNN,Topology,0.9769634041096856,0.0060581686669278,0.9769634041096856,0.0060581686669278,0.9389451987390324,0.0114510086916686,0.9677053824362606,0.0148226000909149,0.4666666666666666,0.2810913475705226,0.8879999999999999,0.0413118223595457,0.936,0.0396528142634586,0.9612456747404844,0.0186551941122543
fcnn,MOE,0.9643029853601356,0.0019508077040734,0.9643029853601356,0.0019508077040734,0.9522972879833258,0.0090423314194108,0.9671388101983004,0.0068224331891174,0.3333333333333333,0.0,0.8720000000000001,0.0178885438199983,0.924,0.015347819244295,0.960553633217993,0.0079659961475579
DMPNN,Fragment,0.986498044578549,0.0033507966171367,0.986498044578549,0.0033507966171367,0.9507989672753984,0.0086070907750194,0.9637393767705384,0.0098857430242133,0.9333333333333332,0.1405456737852613,0.96,0.0377123616632825,0.9213333333333332,0.0195757471515957,0.956401384083045,0.0125503764786486
fcnn,RDkitFP,0.9792830657004948,0.0038680989221654,0.9792830657004948,0.0038680989221654,0.9560174441792686,0.010844489262068,0.963172804532578,0.0188975411673177,0.6,0.2788866755113585,0.936,0.0456070170039655,0.9133333333333332,0.0444722135470878,0.9550173010380624,0.0230824637787652
xgb,MOE,0.9978733512454784,0.0006187701690086,0.9978733512454784,0.0006187701690086,0.9494171357040558,0.0117333531960473,0.9626062322946176,0.0078608707793266,0.3333333333333333,0.0,0.8880000000000001,0.0178885438199983,0.92,0.0194365063161509,0.9557093425605536,0.0102061461617665
DMPNN,Property,0.9805734524465533,0.0090024259407824,0.9805734524465533,0.0090024259407824,0.9420976796133738,0.0175573687828501,0.9626062322946176,0.0333267788551904,0.3999999999999999,0.1405456737852612,0.8480000000000001,0.0168654808542313,0.9186666666666669,0.0686231433444223,0.956401384083045,0.0384344463200157
DMPNN,MOE,0.9854737056836468,0.0068219320464677,0.9854737056836468,0.0068219320464677,0.9590143915851848,0.0089237699373846,0.9620396600566572,0.0124703108738199,0.3333333333333333,0.0,0.8320000000000001,0.0619677335393186,0.916,0.0313010077540605,0.9550173010380624,0.0151267324666713
