model,feat,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,Connectivity,0.7667637651615109,0.0128300477196533,0.7667637651615109,0.0128300477196533,0.774952380952381,0.0689618514937878,0.8045977011494253,0.0081276641515694,0.5555555555555556,0.0,0.7105263157894737,0.0,0.828169014084507,0.0062987830352106,0.8211764705882352,0.0052613364176465
log,Autocorr,0.8864986090970268,0.0114905363973156,0.8864986090970268,0.0114905363973156,0.8030757575757577,0.0657095749370959,0.760919540229885,0.0677088573564282,0.5333333333333333,0.1448711645600588,0.6473684210526315,0.1701392618446801,0.7323943661971831,0.0907330896248248,0.7576470588235293,0.0718514422804822
log,Charge,0.7156383729013382,0.0089693215119856,0.7156383729013382,0.0089693215119856,0.7097640692640692,0.0504377357268112,0.7471264367816092,0.0459770114942528,0.6222222222222221,0.0993807989999906,0.6789473684210526,0.0628280862437543,0.7661971830985915,0.0429519737520476,0.7576470588235293,0.0412604186276474
log,PharmacoErGFP,0.8726227850553595,0.0055127113361963,0.8726227850553595,0.0055127113361963,0.8239372294372295,0.0650879209195954,0.7264367816091954,0.0249189464237687,0.4888888888888888,0.1685083432011455,0.6631578947368422,0.0343115916063297,0.7126760563380282,0.0235678880713824,0.7247058823529412,0.01968611827139
DMPNN,PharmacoErGFP,0.8460316008246747,0.0403586215862698,0.8460316008246747,0.0403586215862698,0.7404718614718615,0.0780507627489174,0.7126436781609196,0.0446816237152896,0.711111111111111,0.0936971158568408,0.6578947368421053,0.087719298245614,0.7098591549295774,0.0519410955340444,0.7223529411764706,0.0433860915637312
log,AtomPairFP,0.9950663016770904,0.0025650095463322,0.9950663016770904,0.0025650095463322,0.8021709956709957,0.0646869102075898,0.7057471264367816,0.0426992543011648,0.9111111111111112,0.0496903994999953,0.7947368421052632,0.0600092328999546,0.7154929577464789,0.0336262996797558,0.7035294117647058,0.0356841197367131
xgb,AtomPairFP,0.9716185174952672,0.0050545133964328,0.9716185174952672,0.0050545133964328,0.75154329004329,0.0568682873277916,0.6597701149425287,0.0464060442257156,0.5111111111111111,0.0993807989999906,0.5894736842105264,0.0235375576578924,0.6704225352112676,0.038054242496074,0.668235294117647,0.03937223654278
log,MOE,0.8149068103849373,0.0054970133027008,0.8149068103849373,0.0054970133027008,0.8050238095238095,0.076799112895245,0.6551724137931034,0.0602763705844914,0.5777777777777777,0.1448711645600588,0.6631578947368422,0.1197296122744982,0.6507042253521127,0.0767573329207815,0.6705882352941177,0.0616946381276559
DMPNN,AtomPairFP,0.9771791825653784,0.0103817359298617,0.9771791825653784,0.0103817359298617,0.7548506493506494,0.0655860206459181,0.6528735632183909,0.0619695528556497,0.8,0.0468485579284204,0.7894736842105263,0.0496215285043191,0.6647887323943662,0.0666600538940801,0.6635294117647059,0.0649608760497212
log,MAP4,1.0,0.0,1.0,0.0,0.7752792207792207,0.0410345144927937,0.639080459770115,0.0403119032568969,0.888888888888889,0.1360827634879543,0.6842105263157895,0.0832178331623258,0.6169014084507042,0.0584125108544442,0.6376470588235293,0.0435453071136982
svm,AtomPairFP,0.9630455375104912,0.0064415299160799,0.9630455375104912,0.0064415299160799,0.6235454545454545,0.0547773672196921,0.6298850574712643,0.0339031751810405,0.8,0.1448711645600588,0.7842105263157895,0.0753569529646123,0.6366197183098591,0.0438659478940772,0.64,0.0368293549235259
fcnn,AtomPairFP,0.8962914764868823,0.0214587890752821,0.8962914764868823,0.0214587890752821,0.7308506493506494,0.0641978733241041,0.6183908045977011,0.044069631063634,0.7333333333333333,0.1490711984999859,0.6368421052631579,0.0600092328999546,0.647887323943662,0.0517497832982361,0.6329411764705882,0.0451065635592489
