model,feat,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,Connectivity,464.8,8.497058314499203,464.8,8.497058314499203,60.6,6.107372593840988,70.0,0.7071067811865462,5.0,0.0,27.0,0.0,58.8,0.4472135954999586,69.8,0.4472135954999571
log,Autocorr,537.4,9.528903399657276,537.4,9.528903399657276,62.8,5.932958789676531,66.2,5.890670590009256,4.8,1.3038404810405295,24.6,6.465291950097845,52.0,6.442049363362562,64.4,6.107372593840988
log,Charge,433.8,5.5407580708780335,433.8,5.5407580708780335,55.6,6.18869937870632,65.0,4.0,5.6,0.8944271909999159,25.8,2.387467277262664,54.4,3.049590136395381,64.4,3.507135583350034
log,PharmacoErGFP,529.0,8.154753215150043,529.0,8.154753215150043,64.4,5.458937625582472,63.2,2.1679483388678804,4.4,1.5165750888103102,25.2,1.3038404810405295,50.6,1.6733200530681518,61.6,1.6733200530681518
DMPNN,PharmacoErGFP,512.8,23.43217161653326,512.8,23.43217161653326,58.0,7.542472332656507,62.0,3.8873012632302,6.4,0.8432740427115678,25.0,3.333333333333333,50.4,3.6878177829171546,61.4,3.6878177829171546
log,AtomPairFP,603.2,5.718391382198321,603.2,5.718391382198321,62.8,6.760177512462229,61.4,3.7148351242013415,8.2,0.4472135954999578,30.2,2.280350850198275,50.8,2.3874672772626644,59.8,3.03315017762062
xgb,AtomPairFP,589.0,7.681145747868599,589.0,7.681145747868599,58.8,5.71839138219832,57.4,4.03732584763727,4.6,0.8944271909999159,22.4,0.8944271909999157,47.6,2.70185121722126,56.8,3.3466401061363014
log,MOE,494.0,6.745368781616021,494.0,6.745368781616021,62.8,4.658325879540848,57.0,5.244044240850759,5.2,1.3038404810405295,25.2,4.54972526643093,46.2,5.449770637375485,57.0,5.244044240850759
DMPNN,AtomPairFP,592.4,11.127543404643374,592.4,11.127543404643374,59.0,5.374838498865699,56.8,5.391351098441529,7.2,0.421637021355784,30.0,1.8856180831641265,47.2,4.732863826479694,56.4,5.521674464226309
log,MAP4,606.2,6.685805860178723,606.2,6.685805860178723,60.6,3.911521443121589,55.6,3.507135583350037,8.0,1.224744871391589,26.0,3.1622776601683795,43.8,4.147288270665543,54.2,3.7013511046643495
svm,AtomPairFP,583.8,7.726577508832729,583.8,7.726577508832729,48.8,5.35723809439155,54.8,2.949576240750525,7.2,1.3038404810405295,29.8,2.863564212655271,45.2,3.1144823004794877,54.4,3.130495168499705
fcnn,AtomPairFP,543.4,17.22788437388642,543.4,17.22788437388642,57.2,6.260990336999411,53.8,3.8340579025361614,6.6,1.3416407864998738,24.2,2.280350850198276,46.0,3.6742346141747673,53.8,3.8340579025361614
DMPNN,Topology,524.6,29.185993596624773,524.6,29.185993596624773,58.4,5.910442735813733,52.4,5.399588461684423,5.8,1.229272594305718,21.8,2.3475755815545343,41.6,5.561774297230455,51.6,5.521674464226308
DMPNN,Kappa,519.8,26.3430361871132,519.8,26.3430361871132,58.6,5.719362823873924,52.0,5.456901847914967,6.2,1.0327955589886444,22.8,2.616188916046478,41.8,5.181162460726786,51.0,5.456901847914967
DMPNN,MAP4,598.2,9.942054337230523,598.2,9.942054337230523,58.6,7.136759301905405,52.0,3.527668414752788,5.2,1.0327955589886446,19.0,3.527668414752788,41.8,3.011090610836324,51.4,3.169297153067923
svm,MAP4,593.4,8.792041856133295,593.4,8.792041856133295,52.6,6.024948132556827,51.6,8.1117199162693,8.2,1.3038404810405295,25.2,3.8340579025361614,42.0,6.782329983125269,51.2,7.661592523751181
DMPNN,Property,526.0,27.341462205879843,526.0,27.341462205879843,58.8,5.094659513211413,51.0,8.894442709417556,5.4,1.955050439815357,21.4,7.381658952355418,40.2,8.879439421745296,50.6,9.106774035482232
DMPNN,Autocorr,558.4,27.605152498119715,558.4,27.605152498119715,56.4,5.561774297230456,50.8,5.593647190240808,1.8,0.4216370213557839,15.2,3.614784456460256,40.0,4.268749491621899,49.8,4.779586221049312
log,MACCSFP,498.4,10.358571330062846,498.4,10.358571330062846,61.6,9.343446901438462,50.2,2.2803508501982765,1.4,0.8944271909999159,6.8,1.9235384061671343,36.4,2.7018512172212588,49.0,2.549509756796392
log,Estate,501.4,7.300684899377591,501.4,7.300684899377591,62.6,5.856620185738529,49.0,1.5811388300841895,1.2,0.4472135954999579,9.2,1.3038404810405295,37.0,1.5811388300841895,49.0,1.5811388300841895
log,Constitution,492.4,7.436396977031279,492.4,7.436396977031279,62.0,7.176350047203662,48.2,0.8366600265340751,1.0,0.0,9.0,0.0,37.0,0.7071067811865472,47.2,0.8366600265340751
log,InfoContent,465.8,7.049822692805829,465.8,7.049822692805829,60.2,6.340346993658942,48.0,1.2247448713915885,1.0,0.0,10.0,1.224744871391589,36.2,1.0954451150103324,48.0,1.2247448713915885
log,PubChemFP,532.0,7.7781745930520225,532.0,7.7781745930520225,64.4,5.458937625582472,47.6,0.547722557505166,1.0,0.0,6.4,0.547722557505166,35.8,0.4472135954999576,46.4,0.547722557505166
DMPNN,Estate,542.6,30.24051733831432,542.6,30.24051733831432,57.4,6.818276093624317,47.6,5.358275012642698,2.6,0.8432740427115678,14.6,2.875181153713044,38.2,4.442221666388713,47.6,5.358275012642698
log,Topology,462.6,5.770615218501405,462.6,5.770615218501405,60.2,4.969909455915671,47.0,1.7320508075688774,1.0,0.0,9.0,0.7071067811865477,35.6,1.51657508881031,46.4,1.6733200530681511
xgb,Autocorr,595.6,8.90505474435727,595.6,8.90505474435727,54.8,3.898717737923585,46.4,6.308724118235001,2.6,1.140175425099138,15.4,3.781534080237808,35.4,5.813776741499454,46.0,5.830951894845301
DMPNN,InfoContent,519.8,18.27445089614338,519.8,18.27445089614338,55.8,6.746192341692543,46.2,11.89584427903758,5.4,3.0983866769659336,19.8,8.202980488145078,36.8,11.38029486046434,46.0,11.604596790352806
log,Kappa,433.4,1.9493588689617936,433.4,1.9493588689617936,58.0,2.82842712474619,46.0,0.0,1.0,0.0,7.0,0.0,36.0,0.0,46.0,0.0
xgb,MAP4,594.4,7.765307463326868,594.4,7.765307463326868,56.6,6.913754406977442,46.0,5.477225575051662,5.0,1.4142135623730951,15.4,3.6469165057620936,36.6,5.029910535983716,45.6,5.029910535983716
DMPNN,Matrix,497.6,45.18406798861741,497.6,45.18406798861741,56.2,5.633234713140696,45.8,11.573917035971682,4.4,2.3664319132398464,17.2,6.44291169511977,36.6,9.442221960722785,45.4,11.24672791921672
fcnn,PharmacoErGFP,397.0,7.035623639735142,397.0,7.035623639735142,47.8,5.167204273105526,45.6,8.619744775803978,2.6,1.3416407864998738,10.8,7.981227975693966,35.2,8.526429498916883,45.6,8.619744775803978
xgb,MorganFP,557.8,7.5299402388066685,557.8,7.5299402388066685,56.0,4.301162633521314,45.2,4.08656334834051,1.8,0.8366600265340756,11.4,4.560701700396552,35.8,4.024922359499622,44.8,4.024922359499621
log,AvalonFP,590.6,8.111719916269298,590.6,8.111719916269298,64.6,7.893034904268448,45.0,3.4641016151377544,1.0,0.0,4.2,0.447213595499958,33.0,2.915475947422649,44.0,3.4641016151377544
fcnn,Autocorr,473.0,59.820565025750135,473.0,59.820565025750135,50.6,8.018728078691781,45.0,8.689073598491383,1.2,0.4472135954999579,11.2,4.816637831516919,35.6,7.503332592921629,44.2,8.318653737234168
log,Path,459.2,7.259476565152614,459.2,7.259476565152614,60.6,7.092249290598858,44.8,2.0493901531919207,3.0,0.0,8.8,1.9235384061671343,33.8,2.0493901531919207,43.8,2.0493901531919207
log,Matrix,464.6,8.473488065725945,464.6,8.473488065725945,60.6,4.61519230368573,44.6,1.1401754250991387,1.0,0.0,8.2,1.6431676725154982,34.6,1.1401754250991387,44.6,1.1401754250991387
xgb,Topology,558.6,8.049844718999251,558.6,8.049844718999251,47.6,6.107372593840988,44.6,4.77493455452533,4.8,1.095445115010332,20.2,2.774887385102321,35.0,2.999999999999999,44.2,4.32434966208793
rf,PharmacoErGFP,555.2,7.190271204899027,555.2,7.190271204899027,60.8,4.868264577855234,44.0,9.273618495495704,3.0,2.8284271247461903,10.0,9.137833441248532,34.0,9.137833441248532,43.6,9.396807968666806
log,EstateFP,441.6,7.861297602813416,441.6,7.861297602813416,58.8,6.220932405998316,43.6,0.5477225575051667,1.0,0.0,4.8,0.4472135954999578,31.8,0.4472135954999581,42.6,0.5477225575051667
DMPNN,Charge,523.4,25.99658097177824,523.4,25.99658097177824,56.8,5.43241300999023,43.0,7.542472332656507,2.4,1.07496769977314,10.6,3.921450978627398,31.2,6.779052703405953,42.4,7.676804890925217
rf,AtomPairFP,602.2,7.395944834840247,602.2,7.395944834840247,58.2,7.5630681604756145,42.2,1.9235384061671357,1.0,0.0,9.8,2.4899799195977463,32.4,2.190890230020665,41.4,1.816590212458496
svm,PubChemFP,420.6,11.696153213770756,420.6,11.696153213770756,49.8,6.833739825307955,42.2,2.280350850198276,1.0,0.0,6.8,0.447213595499958,32.4,1.5165750888103096,42.2,2.280350850198276
xgb,PharmacoErGFP,476.4,9.289779329994872,476.4,9.289779329994872,54.0,5.477225575051661,41.4,2.6076809620810595,2.0,0.7071067811865476,8.4,4.33589667773576,32.0,2.1213203435596424,41.2,2.2803508501982765
xgb,TorsionFP,539.0,8.093207028119323,539.0,8.093207028119323,56.8,6.300793600809347,41.0,5.431390245600107,2.0,1.5811388300841898,13.4,3.8470768123342687,30.4,5.366563145999495,40.6,5.319774431308154
DMPNN,Constitution,521.0,45.2450120025524,521.0,45.2450120025524,56.4,4.6475800154489,40.4,7.560129334578579,1.8,1.2292725943057183,9.2,4.1311822359545785,29.8,6.646636576327743,40.2,7.161626134397752
log,MHFP6,606.2,6.685805860178723,606.2,6.685805860178723,55.2,4.816637831516919,40.4,4.219004621945797,3.2,0.8366600265340756,17.6,2.302172886644268,31.6,2.8809720581775866,39.2,4.324349662087931
DMPNN,Path,489.0,31.219651930581588,489.0,31.219651930581588,53.8,6.844300142778985,39.4,8.342661445845685,4.0,1.8856180831641267,15.6,6.3456021516217564,31.0,8.615231988880057,39.2,8.175845182269809
DMPNN,Connectivity,506.6,27.370706157414997,506.6,27.370706157414997,56.8,8.416914187779536,39.0,10.1762250149825,2.8,1.5491933384829668,11.0,6.2182527020592095,29.2,9.647106647418523,38.4,9.99110715697826
DMPNN,MACCSFP,549.2,24.12375500529625,549.2,24.12375500529625,56.0,5.811865258054231,39.0,8.537498983243797,1.2,0.4216370213557839,10.8,3.425395354310701,29.2,7.814516406449389,38.6,8.422192905255336
log,Property,452.6,4.827007354458873,452.6,4.827007354458873,57.4,5.727128425310542,38.4,1.341640786499874,1.0,0.0,4.2,0.4472135954999578,28.4,1.3416407864998738,38.4,1.341640786499874
log,MorganFP,592.2,6.1806148561449845,592.2,6.1806148561449845,62.8,6.1400325732035,37.2,3.03315017762062,1.4,0.8944271909999159,7.8,3.492849839314596,28.4,3.286335345030997,36.4,3.2093613071762426
DMPNN,RDkitFP,586.2,14.273518603810816,586.2,14.273518603810816,61.0,6.928203230275509,37.0,0.6666666666666666,1.0,0.0,2.2,0.4216370213557838,25.6,0.843274042711568,35.4,0.5163977794943224
xgb,PubChemFP,550.4,11.3269589917153,550.4,11.3269589917153,56.6,5.319774431308154,37.0,2.7386127875258306,1.0,0.0,4.4,2.9664793948382653,26.2,2.588435821108957,36.6,2.70185121722126
svm,AvalonFP,535.0,9.407443861113393,535.0,9.407443861113393,51.4,5.549774770204644,37.0,10.885770528538622,1.0,0.7071067811865476,5.4,2.792848008753788,29.4,10.4546640309481,36.8,10.963576058932595
svm,Autocorr,437.0,13.322912594474229,437.0,13.322912594474229,49.2,7.62889244910426,36.6,6.107372593840989,1.8,0.8366600265340756,13.0,3.24037034920393,27.6,5.272570530585627,36.6,6.107372593840989
svm,PharmacoErGFP,357.2,15.865055940651455,357.2,15.865055940651455,41.2,5.718391382198319,36.6,0.8944271909999161,1.0,0.0,2.8,0.8366600265340756,25.8,0.8366600265340757,36.6,0.8944271909999161
xgb,Fragment,440.6,15.646085772486362,440.6,15.646085772486362,45.8,6.534523701081817,36.4,1.6733200530681511,1.0,0.0,6.8,0.8366600265340756,28.0,2.0000000000000004,36.4,1.6733200530681511
svm,MACCSFP,329.4,15.372052563011875,329.4,15.372052563011875,40.4,7.162401831787993,36.4,1.3416407864998738,1.0,0.0,4.4,0.547722557505166,29.2,1.7888543819998317,35.4,1.3416407864998738
xgb,MACCSFP,535.0,8.602325267042634,535.0,8.602325267042634,55.4,5.504543577809154,36.2,3.271085446759225,2.6,0.8944271909999159,11.4,3.361547262794322,28.6,3.286335345030997,36.2,3.271085446759225
xgb,Estate,549.6,10.014988766843416,549.6,10.014988766843416,53.6,2.7018512172212583,36.2,1.303840481040529,1.0,0.0,5.8,1.9235384061671343,27.0,2.0,35.8,1.3038404810405302
xgb,Charge,591.0,8.573214099741133,591.0,8.573214099741133,52.4,7.300684899377592,36.2,1.4832396974191326,1.8,0.8366600265340756,4.6,1.140175425099138,26.4,1.5165750888103102,35.0,1.2247448713915887
svm,Estate,333.4,10.54988151592234,333.4,10.54988151592234,40.4,5.176871642217915,35.2,1.3038404810405302,1.0,0.0,3.6,0.8944271909999159,26.8,1.3038404810405295,35.2,1.3038404810405302
xgb,MOE,593.6,7.893034904268456,593.6,7.893034904268456,56.8,5.357238094391549,35.0,4.527692569068708,2.2,1.7888543819998317,7.8,4.43846820423443,25.6,4.722287581247038,34.6,4.33589667773576
xgb,Property,579.0,8.746427842267956,579.0,8.746427842267956,48.2,6.1806148561449765,35.0,2.2360679774997894,1.4,0.8944271909999159,7.6,1.816590212458495,25.6,2.1908902300206647,34.6,1.949358868961793
xgb,RDkitFP,591.6,7.765307463326874,591.6,7.765307463326874,58.0,5.787918451395113,34.8,2.774887385102321,1.0,0.0,2.0,0.0,24.4,2.5099800796022262,34.0,2.9154759474226504
fcnn,Estate,397.4,23.89142105442872,397.4,23.89142105442872,43.6,4.722287581247038,34.8,1.9235384061671332,1.0,0.0,3.4,1.51657508881031,26.0,2.3452078799117158,34.8,1.9235384061671332
DMPNN,MOE,535.6,35.82426241777738,535.6,35.82426241777738,58.4,5.103375789067903,34.6,3.627058802329453,1.0,0.0,5.0,3.590109871423002,25.6,4.402019738458447,34.2,3.9665266081716046
rf,Property,600.2,6.870225614927067,600.2,6.870225614927067,48.2,6.016643582596529,34.6,1.816590212458496,1.0,0.0,5.0,0.7071067811865476,24.8,1.4832396974191324,33.8,1.7888543819998326
rf,EstateFP,510.4,10.18822850156002,510.4,10.18822850156002,56.6,5.89915248150105,34.4,3.781534080237808,0.8,0.4472135954999579,4.0,2.8284271247461903,25.0,4.242640687119285,33.4,3.781534080237808
xgb,AvalonFP,583.4,7.76530746332688,583.4,7.76530746332688,57.6,7.127411872482185,34.2,7.694153624668537,1.0,0.0,2.0,0.7071067811865476,24.2,6.833739825307955,33.8,7.395944834840239
rf,MorganFP,603.0,6.745368781616021,603.0,6.745368781616021,54.6,6.18869937870632,34.0,3.535533905932738,1.0,0.0,4.2,2.16794833886788,24.6,2.966479394838265,33.2,3.2710854467592263
svm,Connectivity,232.2,15.546703830716014,232.2,15.546703830716014,27.0,2.9154759474226504,33.8,6.457553716385176,3.6,0.8944271909999159,16.0,4.301162633521314,28.8,6.058052492344384,33.8,6.457553716385176
DMPNN,PubChemFP,565.0,32.37282811247729,565.0,32.37282811247729,56.0,6.394442031083626,33.6,3.747591819348052,1.0,0.0,5.2,2.14993539954628,23.6,2.7968235951204043,33.2,3.425395354310702
