model,feat,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,Kappa,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
rf,MHFP6,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.6,4.037325847637275,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
fcnn,MHFP6,2150.0,22.12464688983754,2150.0,22.12464688983754,265.0,5.1478150704935,352.8,0.4472135954999531,3.0,0.0,25.0,0.0,149.8,0.4472135954999591,288.8,0.4472135954999531
svm,Path,2127.8,38.69366873275262,2127.8,38.69366873275262,265.8,6.058052492344391,352.2,1.3038404810405295,3.0,0.0,24.8,0.4472135954999581,149.4,1.3416407864998734,288.2,1.3038404810405295
fcnn,Path,2097.4,42.453503977881496,2097.4,42.453503977881496,260.6,7.765307463326877,351.4,0.5477225575051733,1.4,0.5477225575051662,23.4,0.5477225575051665,148.4,0.5477225575051635,287.4,0.5477225575051733
fcnn,Kappa,2084.4,11.282730166054654,2084.4,11.282730166054654,260.0,4.0,351.4,1.140175425099129,2.2,0.8366600265340756,24.2,0.8366600265340757,148.8,1.0954451150103368,287.8,1.095445115010327
svm,EstateFP,2129.8,18.43095222716393,2129.8,18.43095222716393,265.2,2.9495762407505226,351.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,287.0,0.0
svm,Topology,2063.0,16.46207763315433,2063.0,16.46207763315433,255.6,9.528903399657274,350.4,0.8944271909999103,1.0,0.0,22.8,0.4472135954999581,147.4,0.8944271909999173,286.4,0.8944271909999103
fcnn,Topology,2093.8,31.268194703244397,2093.8,31.268194703244397,258.8,3.9623225512317903,350.2,2.949576240750526,1.4,0.5477225575051662,22.6,2.0736441353327724,147.2,2.949576240750526,286.2,2.949576240750526
rf,Autocorr,2148.0,6.442049363362568,2148.0,6.442049363362568,258.4,2.9664793948382586,349.4,2.0736441353327697,3.0,0.0,24.8,0.4472135954999578,147.4,1.9493588689617924,286.2,1.9235384061671297
svm,Matrix,2072.6,8.677557259966715,2072.6,8.677557259966715,258.4,6.542170893518445,349.4,0.5477225575051635,1.0,0.0,23.0,0.0,146.8,0.4472135954999591,285.4,0.5477225575051635
DMPNN,,2110.2,17.908098726553824,2110.2,17.908098726553824,254.2,7.9812279756939635,349.2,2.4899799195977512,3.0,0.0,24.2,0.4472135954999581,146.6,1.673320053068148,285.2,2.4899799195977512
svm,MOE,2053.4,9.262828941527513,2053.4,9.262828941527513,254.2,2.3874672772626617,348.8,1.3038404810405335,1.0,0.0,22.6,0.5477225575051664,146.0,1.224744871391587,284.8,1.3038404810405335
fcnn,MorganFP,2148.0,5.6568542494923655,2148.0,5.6568542494923655,259.2,4.381780460041324,346.6,1.8165902124584992,2.0,0.0,23.8,0.4472135954999581,143.6,1.8165902124584945,282.6,1.8165902124584992
