model,feat,train_cohen_kappa,train_cohen_kappa_std,val_cohen_kappa,val_cohen_kappa_std,test_cohen_kappa,test_cohen_kappa_std,ext_cohen_kappa,ext_cohen_kappa_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Topology,0.8581943468552629,0.0370888625434361,0.8581943468552629,0.0370888625434361,0.695725267756312,0.0721860162343609,0.6327774604711769,0.0217597190560356,0.0905594405594406,0.203280243523008,0.4235015612644178,0.0536327682448202,0.5626427048595085,0.0239518784342317,0.6251450439103892,0.0215929435568881
fcnn,AtomPairFP,0.9062442780493892,0.0198687377957479,0.9062442780493892,0.0198687377957479,0.7190352993100408,0.0501274520281956,0.6156366362874814,0.0395297333277644,0.0818181818181818,0.1579504577626732,0.4467956155580923,0.0557423345671332,0.5565538892753998,0.0554891713157392,0.6126913432639202,0.0415482583206845
DMPNN,Property,0.8677345044663027,0.0320466813136642,0.8677345044663027,0.0320466813136642,0.7054131667751506,0.0429696366204557,0.6078867499697707,0.0818094746212115,0.0268975468975469,0.2397338360849191,0.385854900438291,0.190849901682397,0.5196810548312067,0.1133003472768302,0.6053661398699045,0.089910120795672
DMPNN,Kappa,0.8530212923440169,0.0304401443758673,0.8530212923440169,0.0304401443758673,0.7038117651060422,0.0605271356081776,0.5973647881209755,0.0479519156956142,0.0318181818181818,0.1208327396204659,0.3953645440296817,0.0563869723471979,0.5114096977200198,0.0480281554265199,0.5851165682985435,0.0474774702073617
DMPNN,AtomPairFP,0.9685356105342576,0.0092432162759672,0.9685356105342576,0.0092432162759672,0.7141810938617337,0.0399619114917876,0.5796678473384624,0.0400219779035887,-0.2285714285714285,0.0451753951452625,0.4825079299447557,0.1597430116705796,0.4980335498707056,0.0497099449546412,0.576755548251955,0.04414141795333
xgb,AtomPairFP,0.9753267734843823,0.0034823360175137,0.9753267734843823,0.0034823360175137,0.7308160424157591,0.0384026081361137,0.5785747698823847,0.062214856996998,-0.3581818181818181,0.1555581791724177,0.2113734571553076,0.0813376932374394,0.4866323787179013,0.0901096021745365,0.5726967955817592,0.0656623652126941
DMPNN,InfoContent,0.8750705221197921,0.0188139421050153,0.8750705221197921,0.0188139421050153,0.6888530478175466,0.0503819795867828,0.5718444984622308,0.1022880625123461,0.1866744366744367,0.4642636174370089,0.372700053149481,0.2324420699878369,0.4968751910944106,0.1308558662615327,0.5681637934536959,0.1030960584765041
log,AtomPairFP,0.9286136464763064,0.0041267131462041,0.9286136464763064,0.0041267131462041,0.6868588671726369,0.0436385654707899,0.5503694150903043,0.0541684796625191,0.2857142857142857,0.0798595706249925,0.476028374740839,0.1095716712289346,0.4680912579121884,0.0792342927037709,0.5342098202818242,0.0534345113504602
DMPNN,PharmacoErGFP,0.8372770443127362,0.0274438350457588,0.8372770443127362,0.0274438350457588,0.7053664047463328,0.0467131473035727,0.5497779777530674,0.0286217756105095,0.2123232323232323,0.1168508319475912,0.4982896956125794,0.0872991442888578,0.4427581600034145,0.0445664970146575,0.5401214682174776,0.0316437328287439
DMPNN,Matrix,0.8285260318628318,0.0390568562409407,0.8285260318628318,0.0390568562409407,0.6863513036202517,0.0528077890861751,0.5308701765909246,0.0718004944582788,-0.0527972027972027,0.2116773164491835,0.2680724234073655,0.1810201449241765,0.4411508497460649,0.0658485679413655,0.5220621264175432,0.0675439631404752
DMPNN,Path,0.8309816692010259,0.0299301274052163,0.8309816692010259,0.0299301274052163,0.6759949098700774,0.0494405941204208,0.521003705430885,0.0879398888542579,0.0004662004662004,0.2962499261879228,0.2952569465341831,0.1683026055374695,0.444854615943633,0.109504108266067,0.5193614032224236,0.0857290910656184
DMPNN,Connectivity,0.8491430458917921,0.0309440572294465,0.8491430458917921,0.0309440572294465,0.6915349374101853,0.0739479268202847,0.5155636389868932,0.0808099079173178,-0.1637597696421226,0.2215057138698121,0.1832876903807302,0.1439190851525382,0.4235063504927602,0.0997458838782177,0.508172396373587,0.0813964305641591
svm,AtomPairFP,0.9707539845469808,0.0053263519840722,0.9707539845469808,0.0053263519840722,0.6234135148146355,0.0359387596070566,0.5102701089625593,0.0357559311776169,0.0714285714285714,0.3316240187259034,0.4561160111774428,0.1354413878572986,0.4098441051787046,0.0504597066456854,0.5017804081428066,0.0407237382006166
xgb,MorganFP,0.9283855076356532,0.000518073217628,0.9283855076356532,0.000518073217628,0.6939106245579538,0.0514815217046706,0.5088730462252044,0.0494046204675176,-0.0766666666666666,0.0518411033833193,0.1572279318977064,0.128217085271155,0.4032505846966535,0.0689559952942212,0.4997295774674027,0.0531162989615529
DMPNN,Estate,0.9051702492828476,0.0307847786215303,0.9051702492828476,0.0307847786215303,0.7035427303691769,0.0276530166281165,0.4862630274632361,0.0243223282863864,-0.2051282051282051,0.1159372646688079,0.1629188447035474,0.02672636001176,0.3513893301374513,0.0503041609669134,0.476886761841675,0.0267508335862702
DMPNN,Charge,0.8740651863548932,0.032391798191333,0.8740651863548932,0.032391798191333,0.6954658677942398,0.0507914722735367,0.4859338944788401,0.0217409326121169,-0.1311538461538461,0.0658946090051808,0.1378086033419852,0.068620813143664,0.3335866714990563,0.0375433139108182,0.471705834255865,0.0244681065549958
xgb,Autocorr,0.981781048140006,0.0030112416368776,0.981781048140006,0.0030112416368776,0.6860401618241312,0.0540423322904213,0.4839642741746252,0.0756660750621707,-0.4014652014652015,0.1881702130767454,0.0351545718878203,0.1349947592357123,0.337292972606771,0.1009923886841142,0.4734648160077033,0.0793362330432587
log,MAP4,0.9818101919428266,0.0031944036375499,0.9818101919428266,0.0031944036375499,0.6916823367730498,0.0353372126487859,0.483023490391372,0.0189781786513226,-0.1238095238095237,0.1371891456275041,0.4278121781285806,0.0848473751896811,0.3491614538130344,0.0254764163746789,0.4650550717093037,0.021880931170147
rf,Autocorr,0.9811190855894412,0.003550178333089,0.9811190855894412,0.003550178333089,0.6015804028565608,0.0615744685760954,0.4784204169624327,0.0394434789725529,0.2562087912087912,0.0982402371001049,0.3106267995642113,0.0677805834698044,0.4041900836458381,0.0447062533206169,0.4724630721445351,0.0382791288886246
DMPNN,MAP4,0.9836966557876132,0.0117861704886436,0.9836966557876132,0.0117861704886436,0.7195029639703886,0.0555452445798055,0.4730880909506424,0.0466095062948372,-0.3818181818181817,0.0625936702417361,0.247565648324583,0.1070779339967878,0.3278963749556848,0.0611486882993317,0.4594916444595444,0.046885299195866
xgb,MAP4,0.9830199053832862,0.0028429321330111,0.9830199053832862,0.0028429321330111,0.7000065469897888,0.0652090523280652,0.4686917961109881,0.0445056408176926,-0.3893939393939394,0.0939516121086515,0.1844707416396178,0.0820785974421347,0.3351883804299623,0.0523118285732973,0.4568960638059415,0.0436454519371739
DMPNN,Constitution,0.8779830344486204,0.0691269327362738,0.8779830344486204,0.0691269327362738,0.6933265062854393,0.0404399938106786,0.453548574898461,0.0820164335414123,-0.2000915750915751,0.1668091677027794,0.0233604961534958,0.1213444180454453,0.3042502939172081,0.1036777666233367,0.4426978488580095,0.0833714799538913
rf,MorganFP,0.9821573090289808,0.0026764303205633,0.9821573090289808,0.0026764303205633,0.6931929797239277,0.0711790615351521,0.4483652757460251,0.0320827426869053,-0.5238095238095237,0.10647942749999,-0.007476791475234,0.0412083203878694,0.3396464136239971,0.0334675302812046,0.4392736850642723,0.0305502662878994
svm,MAP4,0.9829959981083132,0.0028710905917817,0.9829959981083132,0.0028710905917817,0.6526211883693425,0.0578216699062664,0.4390979651208758,0.0389597609512453,-0.0952380952380952,0.1467717619754517,0.4060490552381192,0.0791395050485841,0.324758532518893,0.0337775404648697,0.4303368787313899,0.0394030783876141
xgb,MOE,0.9817393718662076,0.0028143399386379,0.9817393718662076,0.0028143399386379,0.6999046558777391,0.0559411682031437,0.437615532439014,0.0452939089516499,-0.2654761904761905,0.0955723301734585,0.0805418904973348,0.0966885081423844,0.3192523958319502,0.0622018842373735,0.4290633657252286,0.0444654473421182
DMPNN,MOE,0.8891197030710826,0.050987200109171,0.8891197030710826,0.050987200109171,0.7346726508122768,0.0499849533906207,0.4323047333599456,0.0238527765504964,-0.3333333333333332,0.0,-0.0296398798424612,0.0511370114508459,0.3141679867577265,0.033977273493436,0.4232318671579897,0.0241998467703453
DMPNN,Autocorr,0.92683692245051,0.0390217964982373,0.92683692245051,0.0390217964982373,0.6804154528762829,0.0716748746582488,0.4322518621219667,0.0662669930240774,0.0366666666666666,0.1156836896428477,0.0669309482925444,0.1213049732877592,0.3206917661894598,0.0713487170706342,0.4144365053715096,0.0607101307702027
fcnn,PharmacoErGFP,0.6923063303553249,0.00965075831655,0.6923063303553249,0.00965075831655,0.6346374162904416,0.0402563132037777,0.4316722351078134,0.0848683436556266,-0.460939060939061,0.1106832696339428,0.0939661003427953,0.1950041849639472,0.2789883067785788,0.1129702726978829,0.4227325734396908,0.0879296213897472
svm,MOE,0.5523489104869341,0.015655416541459,0.5523489104869341,0.015655416541459,0.5152677539140308,0.0561061761139842,0.4284892233244821,0.0413017491213874,-0.2717948717948718,0.0561766725646323,0.1477765538214269,0.0558214081836417,0.3177095324872144,0.0444453730770858,0.4257382701969551,0.0418641841785545
xgb,TorsionFP,0.8972705598785614,0.0033261324519137,0.8972705598785614,0.0033261324519137,0.7050305654717557,0.0689307091219265,0.4209308422162004,0.0587915381357752,-0.4303113553113553,0.1651021697885624,0.0594066942743148,0.1298567228387627,0.2878695693875218,0.0779251087462374,0.4064552113281319,0.0598000337689186
rf,AtomPairFP,0.981108644579202,0.0038028058968187,0.981108644579202,0.0038028058968187,0.7312140577623716,0.0651615350130452,0.4186459498258571,0.0284361590317807,-0.5714285714285714,0.0,0.08465657512909,0.057176390275243,0.2632614365270432,0.0311021285474536,0.4052283390044278,0.0277322191831772
rf,InfoContent,0.970788275824907,0.0025850833569024,0.970788275824907,0.0025850833569024,0.5041772835539781,0.029773175544628,0.415493501754018,0.0269873533037943,-0.0596153846153846,0.0935710817361758,0.0493518560020424,0.0474045875286976,0.3598937999509569,0.0326469551346102,0.4144785403715678,0.0247571305476044
log,MOE,0.5508898861079002,0.0119392273885186,0.5508898861079002,0.0119392273885186,0.5339531934038095,0.0601051131545878,0.4149092577922713,0.0308952732427535,-0.0643356643356643,0.1010241458169574,0.0099994774958999,0.1166081705036384,0.2410507469475997,0.0434817617720455,0.4018173697585986,0.0318673592925669
rf,Connectivity,0.9823626403311894,0.0028050746006184,0.9823626403311894,0.0028050746006184,0.6060068625091202,0.0656803373038795,0.4103152140805097,0.0210171062378966,-0.088235294117647,0.0822083815257275,-0.0045838677821038,0.0143015820895958,0.2969995821291263,0.010361769725728,0.4002479995866904,0.0191205004650766
xgb,MACCSFP,0.8937024270521178,0.0038542956088463,0.8937024270521178,0.0038542956088463,0.6715064588792217,0.0369727990912203,0.4081827763040406,0.0319925764018112,-0.2512820512820513,0.0458680610769186,0.0948194417263649,0.0846376498908659,0.3390501478489427,0.0351290119918839,0.4050824264279405,0.0345326504710367
xgb,PubChemFP,0.9134375530182506,0.0076304096091848,0.9134375530182506,0.0076304096091848,0.6897141863756087,0.0574507549450593,0.4028390652454602,0.0350469853061199,-0.3333333333333332,0.0,-0.0361343087350213,0.052589064411894,0.2447654297966359,0.0554978110358687,0.390295336806243,0.0389941757120804
rf,PharmacoErGFP,0.7822325711547368,0.0070613494551091,0.7822325711547368,0.0070613494551091,0.6268918465200481,0.0371455813461023,0.398443234809036,0.09032702989509,-0.3053968253968253,0.2523699708103019,0.0845971454739975,0.2266600162449481,0.2457239872803812,0.1194312474608064,0.3850024858526623,0.0945262207535978
rf,MACCSFP,0.9497768561749084,0.0050372088281411,0.9497768561749084,0.0050372088281411,0.6522977209699178,0.0534718238317463,0.3932569100018226,0.0560890256407491,0.0117647058823529,0.0263066820882328,-0.0067455672232743,0.0094678751922153,0.3093862770640218,0.0464858217525681,0.3827498654442585,0.054218085702031
log,MorganFP,0.8784112753536372,0.0096230635629355,0.8784112753536372,0.0096230635629355,0.6600059516110036,0.0442446869744388,0.3916396845047571,0.0358761208939774,-0.408058608058608,0.1549021840777246,-0.0017201042774965,0.0907300094776012,0.274149639631535,0.041418157256938,0.374421144583513,0.0407640759342548
log,PharmacoErGFP,0.6086184000446189,0.0157138881767552,0.6086184000446189,0.0157138881767552,0.5431042325238644,0.0541818428899714,0.3898847330184826,0.0470139876983458,-0.3688811188811189,0.1174976055912346,0.204607879068391,0.0956608556404217,0.251011627986998,0.0610260008121522,0.3725739100389929,0.0478166242562939
DMPNN,MACCSFP,0.9097232371260616,0.0479624884377343,0.9097232371260616,0.0479624884377343,0.6919877704343741,0.0714098233504259,0.3867209717521727,0.1030309175389585,-0.419047619047619,0.1324231975531061,-0.0450267735020393,0.1406996106498116,0.2196708208514935,0.1210796038337871,0.3682151010303839,0.1055469163569802
xgb,Estate,0.9174849977635736,0.007775996248737,0.9174849977635736,0.007775996248737,0.6555638231790852,0.0311599485236294,0.3819295972204476,0.0177442237075878,-0.2132352941176469,0.1768276616218407,-0.088284724946596,0.0601232046787982,0.2302695309502759,0.0296114383304242,0.3680419708166084,0.0195090589655878
DMPNN,RDkitFP,0.9548171559537196,0.0209316216307749,0.9548171559537196,0.0209316216307749,0.7205916577088582,0.0482224071088427,0.3804466275077572,0.0318235420676907,-0.5714285714285714,0.0,-0.1040148332833934,0.0328039638271809,0.1967928373152368,0.054322998832339,0.3587235519167572,0.0369595566906638
rf,MOE,0.9823626403311894,0.0028050746006184,0.9823626403311894,0.0028050746006184,0.6725342796351641,0.0612670416822941,0.3792478037974249,0.0191467458890357,-0.1666666666666666,0.0931694990624911,-0.0265097349920174,0.0166297268116083,0.2778049566848751,0.0182410852864036,0.3683750225210987,0.0197606930699741
rf,Property,0.9629222644856968,0.0034578130572947,0.9629222644856968,0.0034578130572947,0.5636357309002855,0.0730609689588329,0.37424973987155,0.036203224911177,-0.3333333333333332,0.0,-0.0241432454589421,0.0576593399740454,0.2166228265202818,0.0499747316419859,0.3595962059586399,0.0400612618836474
log,Autocorr,0.7022393602599577,0.0120266141195095,0.7022393602599577,0.0120266141195095,0.6145199720180916,0.0457103740249124,0.371692074880788,0.035928374635513,0.0988677988677988,0.2168933065664217,0.1936882919619387,0.1997171134364971,0.2422965165230782,0.0565334059713765,0.3521629119432092,0.0405176359002307
xgb,Topology,0.9214609725214084,0.0048593440855841,0.9214609725214084,0.0048593440855841,0.5720793736601062,0.0201616067145789,0.3698540717641186,0.0552645046012591,-0.2781818181818181,0.2187114783082992,0.1330305297149503,0.1216671029433427,0.2098548949675038,0.0616270885279015,0.3480951010911571,0.0555418151492521
DMPNN,MorganFP,0.9675003901397836,0.0153031746349503,0.9675003901397836,0.0153031746349503,0.6703024418698632,0.0647265704026531,0.3693249814507106,0.0277198961279454,-0.1847619047619048,0.1322099310203974,-0.010875633097816,0.0607135624116848,0.2608538918701586,0.0430737941723399,0.3553432819113844,0.031961468691825
fcnn,Estate,0.6612372595248118,0.0507165064737386,0.6612372595248118,0.0507165064737386,0.5509036500717219,0.0688032109401956,0.3662603505137925,0.0147001760472556,-0.3333333333333332,0.0,-0.0715184698727939,0.0413334570394208,0.2139399946387506,0.0096027222560477,0.3531215223691721,0.0160973433731682
fcnn,Autocorr,0.7948367900799724,0.0921320764472853,0.7948367900799724,0.0921320764472853,0.6354757874955759,0.1013623882066263,0.3656843635372145,0.0960944171657686,-0.0014705882352941,0.1159575375688495,-0.0201344672066079,0.1480250580037541,0.2424563685531633,0.1021431763841882,0.3421983350403824,0.0968090758796649
