model,feat,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Topology,0.9698678793354152,0.0074032740038086,0.9698678793354152,0.0074032740038086,0.9330972823297964,0.0152186800504009,0.9369080670325752,0.0017069737253066,0.3571428571428571,0.1405367101273686,0.7007339021132124,0.0230523876309042,0.8778645993960564,0.0076044138318783,0.9256726240199766,0.0021179122513179
DMPNN,Property,0.9720068128616136,0.0064937745205904,0.9720068128616136,0.0064937745205904,0.9353771421764302,0.0079691619299635,0.932345559782162,0.0152800690526693,0.3244588744588744,0.140209701345524,0.6827223230490018,0.0736162173807129,0.8643971870891543,0.0347374535152594,0.92146701672162,0.0186477022733265
fcnn,AtomPairFP,0.9801677911218164,0.0039830607602099,0.9801677911218164,0.0039830607602099,0.940828533783123,0.008622674266048,0.931055637491642,0.0078060225694394,0.3242857142857143,0.0706384875147206,0.701617189525538,0.0336009128187769,0.8656431934775851,0.0195076093060814,0.9192975861667018,0.0095789033609291
DMPNN,InfoContent,0.9740107314454988,0.0034743261028906,0.9740107314454988,0.0034743261028906,0.9341440832072184,0.0084545654745114,0.9305453693594088,0.0119225565578952,0.45,0.2863133050383361,0.6841479280680732,0.0975068971053379,0.8658748155378232,0.0284786135083827,0.9186443360132748,0.0144844418700333
DMPNN,Kappa,0.9688264671761652,0.0064118309208276,0.9688264671761652,0.0064118309208276,0.9349447524278356,0.0139399400367982,0.9287813631436824,0.0067511194959962,0.3014285714285714,0.0539589160922487,0.6777000900471424,0.0278583643950687,0.8578389021438149,0.0109784588084164,0.9153923939580594,0.0076676106127164
DMPNN,Path,0.9656498312290877,0.0050664760729477,0.9656498312290877,0.0050664760729477,0.932609401301313,0.0097237816385587,0.926604545907009,0.0106601569211529,0.3433333333333333,0.1831143473284681,0.6580291213199809,0.0657157003308696,0.8603171735786275,0.0219255770128256,0.9147704064350356,0.0122624867388705
DMPNN,Connectivity,0.9687567179774442,0.0056149070134076,0.9687567179774442,0.0056149070134076,0.933848163003874,0.014551744314064,0.926431855676612,0.0065286128814075,0.2434920634920634,0.1662608648391638,0.6165874228773714,0.0518832897482032,0.8578455149744035,0.0145093400114214,0.9136366244739468,0.0080749373744529
rf,Autocorr,0.9958276835283264,0.000786854490235,0.9958276835283264,0.000786854490235,0.9229071170584876,0.009539736986285,0.9245976045166008,0.0030344779130099,0.5304895104895104,0.0523532952552588,0.6726878030323911,0.0269608455790714,0.8595258859780539,0.0058073497951423,0.9123545263631334,0.0036486762490132
DMPNN,Matrix,0.9646311064113052,0.0066969248672619,0.9646311064113052,0.0066969248672619,0.9329303199866018,0.0092331392931082,0.920887084503572,0.0056499476994415,0.2877777777777778,0.1006426537735039,0.6340145343490686,0.0726999158911338,0.8435339028279583,0.0142464916696038,0.9064571590692752,0.0065236464398595
svm,MOE,0.9147786870040866,0.0023316309789622,0.9147786870040866,0.0023316309789622,0.9066043043236854,0.0076539851355828,0.9191162656153562,0.0041285349456498,0.1866666666666666,0.0182574185835055,0.6000225035161744,0.0162233881820423,0.8429962202227855,0.0068280324776211,0.9055817112435852,0.0049235786390702
DMPNN,AtomPairFP,0.9931101414249373,0.002015531781639,0.9931101414249373,0.002015531781639,0.937671044317424,0.007363114597923,0.9171969909898732,0.0152311079708615,0.0,0.0,0.6871415023032273,0.1031875295125592,0.8351424896118272,0.034031688277093,0.9040047555199194,0.0182434070455858
rf,MorganFP,0.9960604006562412,0.0005910315533685,0.9960604006562412,0.0005910315533685,0.9363685539844738,0.0137062975177891,0.9167557797473262,0.0033933836673674,0.0333333333333333,0.0745355992499929,0.5446975326539152,0.0141071861304554,0.8385430352907367,0.0067518990378875,0.902765053996068,0.0041929648882204
xgb,AtomPairFP,0.9946510854459568,0.0007295639833217,0.9946510854459568,0.0007295639833217,0.9424093329960184,0.0066095505407432,0.9162634757009672,0.0163789157489014,0.05,0.1118033988749894,0.5586432053007055,0.0551391309804106,0.8286638900887281,0.0419447129411233,0.9020973429476384,0.0205521783860294
rf,InfoContent,0.9934957948058898,0.0005673490977753,0.9934957948058898,0.0005673490977753,0.9010327743519856,0.0092977975648284,0.9159680031897592,0.0020832856869811,0.3373426573426573,0.0425873551735234,0.5772412379585982,0.0152645668333454,0.8528853068349166,0.0040698809089505,0.9040731801526284,0.001957105198997
xgb,MorganFP,0.9847093671229744,0.0002554316570385,0.9847093671229744,0.0002554316570385,0.934802970709147,0.0116893175435839,0.91446206186677,0.0093982029120125,0.3291375291375291,0.023158012507263,0.5997191697191697,0.0496308009852737,0.8292837389506044,0.0200029548780787,0.8993338130939034,0.0113737708387264
rf,Connectivity,0.9961071351527776,0.0006230572406877,0.9961071351527776,0.0006230572406877,0.9210321322652334,0.0145067734783226,0.913196880494806,0.002031365790253,0.3318681318681317,0.0540587862692256,0.5614541566426089,0.0074117195725734,0.834675201442319,0.003980601952497,0.8985624556465283,0.0025411655137634
DMPNN,,0.9674523147329992,0.0044087661551994,0.9674523147329992,0.0044087661551994,0.9351596364969096,0.0133281906871654,0.9129552644970516,0.0056539325144682,0.4651348651348651,0.0478301397420313,0.5934026705111043,0.0159716048106275,0.8320559590364244,0.0101409108014513,0.8968747379963261,0.0067402722720246
xgb,MOE,0.9960317749956984,0.0005917900987073,0.9960317749956984,0.0005917900987073,0.9358367190322552,0.0114615654454759,0.9124726689167506,0.0046193520947866,0.1893550893550893,0.0315949000872676,0.5750598925753048,0.0313246385776939,0.8278786570691933,0.0116464628135601,0.8973480476967793,0.0056519758983069
DMPNN,MOE,0.9766746346117848,0.0102873355396866,0.9766746346117848,0.0102873355396866,0.9436138318185144,0.0105555415997949,0.9116594878658132,0.0035319304219104,0.1666666666666666,0.0,0.5277714403682742,0.0188105655421563,0.8255921231393689,0.0086171565895085,0.8963709214679543,0.0034728688767009
DMPNN,Charge,0.9736484919751154,0.0063182234389987,0.9736484919751154,0.0063182234389987,0.9346548426306056,0.0104726830259774,0.9114288850360864,0.0120646121001496,0.2793162393162393,0.0599846031277829,0.5923097941597548,0.0198819044352032,0.8118494785221253,0.0347350754804785,0.8945694136468421,0.0152704313105454
rf,MACCSFP,0.988797732996011,0.0011535299785928,0.988797732996011,0.0011535299785928,0.9265289232256506,0.0113820630291256,0.911140927196138,0.0045959217949458,0.4057142857142857,0.0127775312999987,0.5594528043775651,0.002936559861012,0.8375276162669463,0.0077131482285229,0.8960956165780439,0.0055464898054936
