model,feat,train_p_stat,train_p_stat_std,val_p_stat,val_p_stat_std,test_p_stat,test_p_stat_std,ext_p_stat,ext_p_stat_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,PharmacoPFP,0.0,0.0,0.0,0.0,1.0313114435993134e-30,2.297520650262815e-30,0.2514299662770779,0.3410814407842351,0.001670334759557,0.0004513625426289,0.0001344692754834,0.000217624731705,0.0064669079388749,0.0082317610185607,0.4165379488240585,0.3520995297996089
svm,PharmacoPFP,0.0,0.0,0.0,0.0,8.565434012930343e-35,1.9140865790674366e-34,0.2421871031931919,0.3404103249248701,0.0005663502280172,0.0004925757766333,0.0051476334526192,0.005914732048459,0.3482528409922275,0.411360313673725,0.25806597325535,0.3464372939397723
svm,TorsionFP,0.0,0.0,0.0,0.0,1.2350205347308231e-46,2.761589747212089e-46,0.1173591603529206,0.1558256322137474,0.0048519177909705,0.0103950293400472,0.1521546781057482,0.3127331239151069,0.1818212390718711,0.2115763562318044,0.403137596802546,0.485347065028124
svm,Fragment,1.713317472493747e-117,3.831080607190647e-117,1.713317472493747e-117,3.831080607190647e-117,1.9059791740509583e-12,4.214309629677594e-12,0.0534556312949524,0.115202393730451,0.3484084957922626,0.1680206032438081,0.1874812432603838,0.2072142474973001,0.2976929935714996,0.2289908166992519,0.1068037207411443,0.223320459861489
log,Fragment,3.0118705613977388e-152,6.73474731155595e-152,3.0118705613977388e-152,6.73474731155595e-152,5.829784842324707e-13,1.3012458132751336e-12,0.0440066202993144,0.038536946405673,0.4812262117172988,0.1055686011759678,8.821562808270853e-08,6.54647514709267e-08,7.628029188815983e-12,9.402291231168602e-12,0.0034355116309699,0.003505166074805
svm,Kappa,0.0033014971010132,0.0047896739042814,0.0033014971010132,0.0047896739042814,0.0472132340445411,0.1020460928087239,0.0333755132093925,0.0732157717127883,0.1185876745745886,0.0710004515679269,0.3230179970880232,0.4285418357890744,0.0512644571354964,0.0750211784823809,0.0829904128745168,0.1852694916372919
svm,AvalonFP,0.0,0.0,0.0,0.0,6.517974477088148e-45,1.457449267980924e-44,0.0323993311754198,0.0724427996077792,0.6241119605055634,0.3094794740396973,0.1565925067197879,0.2115839487087341,0.4183430717071423,0.2721212089437389,0.1265524322237565,0.2824549118445956
svm,EstateFP,5.322173827716586e-31,6.667892627765015e-31,5.322173827716586e-31,6.667892627765015e-31,0.0009818297219116,0.0018253600734721,0.025776039580456,0.0114408209775754,0.3186925425745147,0.268340525741574,0.2632948821708842,0.1766602691088789,0.049216503458478,0.0213468728865814,0.0574613789955743,0.0224535387235248
fcnn,Fragment,0.0,0.0,0.0,0.0,1.272674489885064e-27,2.82348503586858e-27,0.0091113626200042,0.0144201493991606,0.8786443210840862,0.073425583255518,9.856415057181046e-05,0.0001079669395458,0.0565691581201792,0.0642810641205386,0.0678553645642673,0.0830200499004797
log,TorsionFP,0.0,0.0,0.0,0.0,6.694593394275428e-44,1.4639067769951809e-43,0.0035190851029877,0.0075449404567895,0.0001016780474242,0.0001392968296005,0.0333609938960533,0.0543625665891412,0.3063534138384796,0.2413369443938515,0.0455227935481278,0.0861852888708713
DMPNN,TorsionFP,0.0,0.0,0.0,0.0,6.059389320027197e-41,1.2774314320653748e-40,0.0024834885090941,0.0033240256055344,0.0153278453299966,0.0262155290916861,0.0627011460718692,0.074192627257094,0.2110976372421839,0.2820144350726144,0.0301620264832436,0.0387854850454593
rf,EstateFP,0.0,0.0,0.0,0.0,1.9806620367010375e-21,4.416818856192921e-21,0.0017764870840061,0.0015934810282659,0.0847702031528668,0.0239619925642511,0.0105079663593357,0.0120794917273574,0.1099609611852005,0.1090844028503508,0.0592169907722932,0.0501622152786932
log,AvalonFP,0.0,0.0,0.0,0.0,1.0389335923756836e-45,1.579295154501993e-45,0.0002934927743414,0.0006457223541769,0.7055940842905264,0.1012492445702719,0.0015482883996124,0.0012905972574198,0.2220426230579864,0.1374464422803163,0.0086949955205423,0.0180626084989801
fcnn,MHFP6,8.541666644085894e-160,1.9099745718881344e-159,8.541666644085894e-160,1.9099745718881344e-159,8.67299589845309e-18,1.9393334621996898e-17,0.0001793678694391,0.0004010787490441,0.1770490099916469,0.2284828031512676,0.6060763535161752,0.4073665552044793,0.0688389378890951,0.1182448616277554,0.0028546378937055,0.0063831643716404
log,EstateFP,1.2071411926804832e-131,2.6992497652669973e-131,1.2071411926804832e-131,2.6992497652669973e-131,3.935188557670058e-15,7.740189213442666e-15,0.0001298400363263,0.0002587276749905,0.3472286552437439,0.1332896629323639,0.000214683245042,0.0002812456656649,0.6831835933765564,0.2432358295041273,0.005313990340285,0.0090659569530015
rf,Fragment,0.0,0.0,0.0,0.0,3.735730954484296e-33,8.353347459671748e-33,0.0001184100644731,0.0002233560701412,0.1488399542814745,0.0418395595620848,0.0004700742829851,0.0004193887785853,0.0474604000971605,0.0434291577574608,0.006703451805468,0.0110787486357454
log,PubChemFP,0.0,0.0,0.0,0.0,1.297304306865655e-35,2.8632943413214047e-35,6.939537218948406e-05,2.1665113225556552e-05,0.002457085214202,0.0007214079836756,1.301269999599454e-05,2.4119141234133378e-05,0.0022870299604274,0.002432648276922,0.0112136747121989,0.0029511078522947
xgb,Kappa,0.0,0.0,0.0,0.0,8.035367537307692e-26,1.512853267415087e-25,3.312653913140949e-05,6.012099240998693e-05,0.0012592844263334,0.0022765543660364,0.1678128903852828,0.0556659817771674,0.5932232535534062,0.2377512939216153,0.0016697142272532,0.0024515453245649
log,MACCSFP,7.355909036537499e-277,0.0,7.355909036537499e-277,0.0,7.008569523427255e-25,9.63806831916899e-25,3.294562471632995e-05,3.773641429153939e-05,0.2683866586468629,0.0559997083118589,0.000291886889775,0.0004118876328276,0.191627356941171,0.1964010721426673,0.0094645459744535,0.0088385966904529
fcnn,Autocorr,0.0,0.0,0.0,0.0,5.238148298990348e-43,1.1204206052862605e-42,1.6294605934259365e-05,3.643584653557541e-05,0.6268696201346211,0.3030893086261629,0.3678453580156786,0.2641915603244713,0.1099726043384989,0.2458670502333377,0.0007309997200334,0.0016345650655281
