model,feat,train_prc,train_prc_std,val_prc,val_prc_std,test_prc,test_prc_std,ext_prc,ext_prc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,AtomPairFP,0.998284273369878,0.000675156570539,0.998284273369878,0.000675156570539,0.9792502852956216,0.0104440295326963,0.979399870843992,0.0037914939040513,0.3732696007696007,0.1527377925983382,0.7788069595760045,0.0240371496524054,0.9347583356516828,0.0097036221976064,0.9727607527082374,0.003409122853516
rf,Autocorr,0.9999203187869168,2.9365458792536982e-05,0.9999203187869168,2.9365458792536982e-05,0.9739658857238076,0.0115561030822166,0.9788316296830168,0.0032382272207872,0.6538888888888887,0.1591063003617858,0.7897111792748521,0.0275813864460532,0.9236617118862126,0.0101110456126373,0.9710276501639126,0.0036421917722141
DMPNN,InfoContent,0.9960218056456174,0.0010262926837078,0.9960218056456174,0.0010262926837078,0.9788738247828028,0.0097170790374237,0.9758260045210914,0.0032110052181621,0.5473653198653199,0.3474213223682263,0.7030465347079297,0.0930815648876109,0.9095885602982866,0.012584152312632,0.9675005833493412,0.0047170530777989
log,AtomPairFP,0.9995321268987792,6.408243125716202e-05,0.9995321268987792,6.408243125716202e-05,0.9735525798032784,0.0109251451028759,0.9743728068249208,0.0066768058880584,0.3563263588263587,0.1585192791403918,0.7968024807784578,0.061311317623377,0.9304345815218796,0.0155855396774155,0.9674832668398288,0.0064091695640708
DMPNN,Property,0.995610919892592,0.0023248270933524,0.995610919892592,0.0023248270933524,0.9791552762475164,0.011880718117323,0.9737529490215714,0.0018211386636211,0.3832948532948532,0.1604899345812579,0.6797278299431325,0.0546974983839445,0.9095775785538636,0.0141381508952831,0.964049473330704,0.0034807336020403
rf,AtomPairFP,0.99992827236918,2.284933841394436e-05,0.99992827236918,2.284933841394436e-05,0.9817789659064096,0.0074346888209249,0.9737515123407064,0.0027391973483672,0.1491582491582491,0.0,0.6834377240753516,0.0246243727850018,0.8953505149520049,0.0064897456469212,0.964934046857556,0.0016908417042839
xgb,AtomPairFP,0.999890540504554,1.467879151176177e-05,0.999890540504554,1.467879151176177e-05,0.979663247266216,0.0091081357300392,0.9728237128306686,0.003495774136859,0.153047138047138,0.0030204373165252,0.6205116585516163,0.0303652280163856,0.9056880748270556,0.0083262941818611,0.9631501173782698,0.0030242925946319
DMPNN,AtomPairFP,0.9996995069392686,0.0001716027628918,0.9996995069392686,0.0001716027628918,0.9745785082070022,0.0132995683219526,0.9725251762766314,0.0068148130402773,0.1553679653679653,0.0118971168868192,0.7486578832371947,0.0522240885018797,0.908814778856428,0.0182861330691688,0.9644757307738914,0.0072484315632116
DMPNN,Topology,0.9948550239718228,0.0025192299634079,0.9948550239718228,0.0025192299634079,0.9769545873560216,0.0121701095749604,0.9711939981579104,0.0024797039962076,0.3401394901394901,0.1768606668218663,0.689949370434633,0.0938596960616358,0.8997245825488394,0.0095760507444637,0.9611791319534893,0.0035448929425986
fcnn,MAP4,0.997359503232996,0.0013552543381831,0.997359503232996,0.0013552543381831,0.9763666768802072,0.0133818290488803,0.9700053047519216,0.0039660029103794,0.1678884078884078,0.0187510439413385,0.7279585141357611,0.0512456932967332,0.8829936299965111,0.0135025594379341,0.9572311154673754,0.0050667656442703
DMPNN,Kappa,0.99415512773715,0.0023630693962222,0.99415512773715,0.0023630693962222,0.9747893217023536,0.0130206575225727,0.9699325624048374,0.0048599033184571,0.3397631072631072,0.1387793992436292,0.5979305141298857,0.0588504969094784,0.8950572839724849,0.013168654626392,0.9589363953721812,0.0064524825786237
rf,MorganFP,0.9999304689691136,2.530728730732499e-05,0.9999304689691136,2.530728730732499e-05,0.9776366474199314,0.0131117394990261,0.9696813008949244,0.0010826917228044,0.1464309764309763,0.0037344719829897,0.3813205561951823,0.0075446543882394,0.8562792418503568,0.0058926798235689,0.9567153690358527,0.0012230393101029
DMPNN,Matrix,0.9933436730577606,0.0027691741072658,0.9933436730577606,0.0027691741072658,0.976527712560951,0.0126776409249186,0.9688716187951686,0.0087894663810835,0.3723689273689273,0.1372796609027664,0.6451353178923925,0.1408427901176989,0.8668129041496613,0.0463145884673567,0.9569282949699446,0.0128022959123852
rf,MAP4,0.9999436897165396,3.94359491535942e-05,0.9999436897165396,3.94359491535942e-05,0.9774149672088636,0.0143683196428653,0.9676514513841056,0.004138000542316,0.1437037037037036,0.0030491836056815,0.6582816158494692,0.0568254853839862,0.8737819611830568,0.0100988563976118,0.9543463856080748,0.0061648694911718
DMPNN,Connectivity,0.9950135034070108,0.0022138610759033,0.9950135034070108,0.0022138610759033,0.9781467203476228,0.0108680149943714,0.9664009000245743,0.0083217469988333,0.2094384319384318,0.044047740402792,0.5731623962832544,0.1329496240240007,0.8763258795183907,0.0420588541856624,0.9559520526264376,0.0124955611685162
DMPNN,Path,0.9944655876984776,0.0012262057858025,0.9944655876984776,0.0012262057858025,0.976473780121454,0.0115327861699353,0.9661660165443212,0.0122581075449608,0.2837698412698412,0.1768612091428229,0.6031681711209009,0.1540809074641406,0.8717925532704175,0.0525437176605468,0.95288173552497,0.018234380608541
xgb,MAP4,0.999971561475563,9.34524468491979e-06,0.999971561475563,9.34524468491979e-06,0.9778566495610076,0.0130406643245224,0.9659822706639372,0.0052288618884934,0.1381565656565656,0.0028987899640499,0.5836044691697925,0.0916310319564827,0.8708469081393722,0.0217634799331034,0.9521210394260649,0.0087638212565146
svm,AtomPairFP,0.9990674787749956,0.0001869532766993,0.9990674787749956,0.0001869532766993,0.9661648960540872,0.0086668995154886,0.9639002599523352,0.0089039699615923,0.3657407407407407,0.1108035394029598,0.7748224449096707,0.0948572168732012,0.9064376477390856,0.0187251943388763,0.956017887406868,0.0104147571040536
