model,feat,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,AtomPairFP,0.9940335499401798,0.0023725268825744,0.9940335499401798,0.0023725268825744,0.9416898825229164,0.0245871812953171,0.9282048777311062,0.0097454386034071,0.6,0.106057933802047,0.8351578947368422,0.0238253106876464,0.8834366197183099,0.0186351979671632,0.9203500915937308,0.0092064556451987
rf,Autocorr,0.9997011114942052,0.0001134707166175,0.9997011114942052,0.0001134707166175,0.9224703409461872,0.0240304831903326,0.9273940933216112,0.0089701110092503,0.874074074074074,0.0561694477337152,0.8651578947368421,0.0234325814321891,0.8744319248826292,0.0165648080995948,0.9198330958681048,0.0092978495700134
DMPNN,InfoContent,0.987022756922121,0.0032419429282103,0.987022756922121,0.0032419429282103,0.942338983820058,0.0207329088846742,0.9155025886490182,0.0111963802989634,0.6074074074074074,0.339988434134489,0.8075789473684211,0.0764119982392514,0.8578591549295774,0.0207003297742666,0.9068919193975168,0.0135773204618165
DMPNN,Property,0.9860967021770684,0.0069884534930826,0.9860967021770684,0.0069884534930826,0.9441669347442406,0.0239587582818057,0.9099280388134544,0.010234424203209,0.4814814814814815,0.1104231099999896,0.7745263157894737,0.0590575411537624,0.8453896713615023,0.0299964102890603,0.8988072460818237,0.0138449911198901
log,AtomPairFP,0.99827168251236,0.0002293029116034,0.99827168251236,0.0002293029116034,0.9286993501754444,0.0250713139756944,0.905021002246752,0.0206117432579173,0.6222222222222221,0.1803060954761197,0.8193684210526315,0.06675958437006,0.8533145539906103,0.0338416183146572,0.8959535925096682,0.0203534825858376
DMPNN,Topology,0.983301971224156,0.0077513756472443,0.983301971224156,0.0077513756472443,0.9374816309531916,0.0259978321935464,0.9045423463905442,0.0064079273607513,0.5703703703703704,0.2030104176898219,0.8010526315789473,0.042686052844198,0.8446948356807512,0.0081032132450665,0.8942723386932627,0.0072160550305353
xgb,AtomPairFP,0.9996101883272056,5.4777373396129575e-05,0.9996101883272056,5.4777373396129575e-05,0.9441967764011848,0.0184200920235842,0.9023509491713068,0.0109287692029827,0.1777777777777777,0.0309874083901509,0.6581052631578947,0.0307919477188652,0.8245258215962441,0.0207925998667253,0.8891186647669448,0.0100759230631983
DMPNN,AtomPairFP,0.9989227143870312,0.0006022190031431,0.9989227143870312,0.0006022190031431,0.9355289883618564,0.0227834937461063,0.9019341603985545,0.0200966087619263,0.1851851851851851,0.0552115549999948,0.7907368421052632,0.0585719036553765,0.8260093896713615,0.0310646633750651,0.8903317728475473,0.0214395975197185
DMPNN,Kappa,0.981663890845932,0.0066834807442956,0.981663890845932,0.0066834807442956,0.9349822057696728,0.025559542147582,0.8993780730031584,0.013318697107759,0.4888888888888888,0.1087541508421987,0.7507368421052631,0.0307925474549069,0.8331267605633803,0.014314300007687,0.8873926317932017,0.0140071713787635
rf,AtomPairFP,0.9997352490184764,8.515308310864833e-05,0.9997352490184764,8.515308310864833e-05,0.947093094196898,0.0179202527186226,0.8951222688938817,0.0070206306038482,0.1111111111111111,0.0,0.7057894736842105,0.0111524316317984,0.7769953051643192,0.0107973055416941,0.8810624872786486,0.0049703472674007
DMPNN,Matrix,0.9787604725246376,0.0080993629728199,0.9787604725246376,0.0080993629728199,0.9369476406554644,0.0263018307293322,0.891582820487773,0.0283429852685703,0.4296296296296296,0.0876456264162906,0.7292631578947368,0.114399740855957,0.7998873239436619,0.0531579769083324,0.8765153673926317,0.0335995332960688
DMPNN,Connectivity,0.9832675767982296,0.0071491596735601,0.9832675767982296,0.0071491596735601,0.9400263181158854,0.0231739920367886,0.890872977109179,0.0255861028677952,0.4,0.151001331865883,0.7006315789473684,0.1476181676576144,0.811868544600939,0.0539604224874628,0.8807327498473437,0.0310142036715116
fcnn,MAP4,0.9916522812016876,0.0043602600495793,0.9916522812016876,0.0043602600495793,0.9392504770555952,0.0251161861009625,0.8908208785125851,0.0131904517881943,0.2592592592592592,0.1141558148697958,0.7865263157894737,0.02707740008878,0.7820657276995305,0.0258012724114227,0.87138204762874,0.0139205805771339
DMPNN,Path,0.981657429456422,0.0039862472171099,0.981657429456422,0.0039862472171099,0.9343269312784463,0.024168896171076,0.8873823711373774,0.0382396923894831,0.4444444444444445,0.1928456710100408,0.7324210526315789,0.1633526850804469,0.8092582159624413,0.0719989811865094,0.8728597598208833,0.0454874432490887
